domain,condition,target,alpha,lengthWeight,freqWeight,label,modelProb
dog,item12,husky,3.00,1.00,1.00,basicLevel,0.1266
dog,item12,husky,3.00,1.00,1.00,superDomain,0.0514
dog,item12,husky,3.50,1.00,1.00,type,0.8734
dog,item12,husky,3.50,1.00,1.00,basicLevel,0.0951
dog,item12,husky,3.50,1.00,1.00,superDomain,0.0315
dog,item12,husky,4.00,1.00,1.00,type,0.9109
dog,item12,husky,4.00,1.00,1.00,basicLevel,0.0701
dog,item12,husky,4.00,1.00,1.00,superDomain,0.0190
dog,item12,husky,4.50,1.00,1.00,type,0.9377
dog,item12,husky,4.50,1.00,1.00,basicLevel,0.0510
dog,item12,husky,4.50,1.00,1.00,superDomain,0.0113
dog,item12,husky,5.00,1.00,1.00,type,0.9565
dog,item12,husky,5.00,1.00,1.00,basicLevel,0.0368
dog,item12,husky,5.00,1.00,1.00,superDomain,0.0066
dog,item12,husky,5.50,1.00,1.00,type,0.9697
dog,item12,husky,5.50,1.00,1.00,basicLevel,0.0264
dog,item12,husky,5.50,1.00,1.00,superDomain,0.0039
dog,item12,husky,6.00,1.00,1.00,type,0.9789
dog,item12,husky,6.00,1.00,1.00,basicLevel,0.0188
dog,item12,husky,6.00,1.00,1.00,superDomain,0.0023
dog,item12,husky,6.50,1.00,1.00,type,0.9853
dog,item12,husky,6.50,1.00,1.00,basicLevel,0.0134
dog,item12,husky,6.50,1.00,1.00,superDomain,0.0013
dog,item12,husky,7.00,1.00,1.00,type,0.9897
dog,item12,husky,7.00,1.00,1.00,basicLevel,0.0095
dog,item12,husky,7.00,1.00,1.00,superDomain,0.0008
dog,item12,husky,7.50,1.00,1.00,type,0.9928
dog,item12,husky,7.50,1.00,1.00,basicLevel,0.0068
dog,item12,husky,7.50,1.00,1.00,superDomain,0.0004
dog,item12,husky,8.00,1.00,1.00,type,0.9950
dog,item12,husky,8.00,1.00,1.00,basicLevel,0.0048
dog,item12,husky,8.00,1.00,1.00,superDomain,0.0003
dog,item12,husky,8.50,1.00,1.00,type,0.9965
dog,item12,husky,8.50,1.00,1.00,basicLevel,0.0034
dog,item12,husky,8.50,1.00,1.00,superDomain,0.0001
dog,item12,husky,9.00,1.00,1.00,type,0.9975
dog,item12,husky,9.00,1.00,1.00,basicLevel,0.0024
dog,item12,husky,9.00,1.00,1.00,superDomain,0.0001
dog,item12,husky,9.50,1.00,1.00,type,0.9983
dog,item12,husky,9.50,1.00,1.00,basicLevel,0.0017
dog,item12,husky,9.50,1.00,1.00,superDomain,0.0000
dog,item22,dalmatian,0.50,1.00,1.00,type,0.3876
dog,item22,dalmatian,0.50,1.00,1.00,basicLevel,0.3420
dog,item22,dalmatian,0.50,1.00,1.00,superDomain,0.2704
dog,item22,dalmatian,1.00,1.00,1.00,type,0.4376
dog,item22,dalmatian,1.00,1.00,1.00,basicLevel,0.3861
dog,item22,dalmatian,1.00,1.00,1.00,superDomain,0.1763
dog,item22,dalmatian,1.50,1.00,1.00,type,0.4728
dog,item22,dalmatian,1.50,1.00,1.00,basicLevel,0.4172
dog,item22,dalmatian,1.50,1.00,1.00,superDomain,0.1100
dog,item22,dalmatian,2.00,1.00,1.00,type,0.4959
dog,item22,dalmatian,2.00,1.00,1.00,basicLevel,0.4375
dog,item22,dalmatian,2.00,1.00,1.00,superDomain,0.0666
dog,item22,dalmatian,2.50,1.00,1.00,type,0.5102
dog,item22,dalmatian,2.50,1.00,1.00,basicLevel,0.4502
dog,item22,dalmatian,2.50,1.00,1.00,superDomain,0.0396
dog,item22,dalmatian,3.00,1.00,1.00,type,0.5189
dog,item22,dalmatian,3.00,1.00,1.00,basicLevel,0.4579
dog,item22,dalmatian,3.00,1.00,1.00,superDomain,0.0232
dog,item22,dalmatian,3.50,1.00,1.00,type,0.5241
dog,item22,dalmatian,3.50,1.00,1.00,basicLevel,0.4624
dog,item22,dalmatian,3.50,1.00,1.00,superDomain,0.0135
dog,item22,dalmatian,4.00,1.00,1.00,type,0.5271
dog,item22,dalmatian,4.00,1.00,1.00,basicLevel,0.4651
dog,item22,dalmatian,4.00,1.00,1.00,superDomain,0.0079
dog,item22,dalmatian,4.50,1.00,1.00,type,0.5288
dog,item22,dalmatian,4.50,1.00,1.00,basicLevel,0.4666
dog,item22,dalmatian,4.50,1.00,1.00,superDomain,0.0046
dog,item22,dalmatian,5.00,1.00,1.00,type,0.5299
dog,item22,dalmatian,5.00,1.00,1.00,basicLevel,0.4675
dog,item22,dalmatian,5.00,1.00,1.00,superDomain,0.0026
dog,item22,dalmatian,5.50,1.00,1.00,type,0.5305
dog,item22,dalmatian,5.50,1.00,1.00,basicLevel,0.4680
dog,item22,dalmatian,5.50,1.00,1.00,superDomain,0.0015
dog,item22,dalmatian,6.00,1.00,1.00,type,0.5308
dog,item22,dalmatian,6.00,1.00,1.00,basicLevel,0.4683
dog,item22,dalmatian,6.00,1.00,1.00,superDomain,0.0009
dog,item22,dalmatian,6.50,1.00,1.00,type,0.5310
dog,item22,dalmatian,6.50,1.00,1.00,basicLevel,0.4685
dog,item22,dalmatian,6.50,1.00,1.00,superDomain,0.0005
dog,item22,dalmatian,7.00,1.00,1.00,type,0.5311
dog,item22,dalmatian,7.00,1.00,1.00,basicLevel,0.4686
dog,item22,dalmatian,7.00,1.00,1.00,superDomain,0.0003
dog,item22,dalmatian,7.50,1.00,1.00,type,0.5312
dog,item22,dalmatian,7.50,1.00,1.00,basicLevel,0.4687
dog,item22,dalmatian,7.50,1.00,1.00,superDomain,0.0002
dog,item22,dalmatian,8.00,1.00,1.00,type,0.5312
dog,item22,dalmatian,8.00,1.00,1.00,basicLevel,0.4687
dog,item22,dalmatian,8.00,1.00,1.00,superDomain,0.0001
dog,item22,dalmatian,8.50,1.00,1.00,type,0.5312
dog,item22,dalmatian,8.50,1.00,1.00,basicLevel,0.4687
dog,item22,dalmatian,8.50,1.00,1.00,superDomain,0.0001
dog,item22,dalmatian,9.00,1.00,1.00,type,0.5312
dog,item22,dalmatian,9.00,1.00,1.00,basicLevel,0.4687
dog,item22,dalmatian,9.00,1.00,1.00,superDomain,0.0000
dog,item22,dalmatian,9.50,1.00,1.00,type,0.5313
dog,item22,dalmatian,9.50,1.00,1.00,basicLevel,0.4687
dog,item22,dalmatian,9.50,1.00,1.00,superDomain,0.0000
dog,item22,pug,0.50,1.00,1.00,type,0.2807
dog,item22,pug,0.50,1.00,1.00,basicLevel,0.4017
dog,item22,pug,0.50,1.00,1.00,superDomain,0.3176
dog,item22,pug,1.00,1.00,1.00,type,0.3242
dog,item22,pug,1.00,1.00,1.00,basicLevel,0.4640
dog,item22,pug,1.00,1.00,1.00,superDomain,0.2118
dog,item22,pug,1.50,1.00,1.00,type,0.3561
dog,item22,pug,1.50,1.00,1.00,basicLevel,0.5096
dog,item22,pug,1.50,1.00,1.00,superDomain,0.1343
dog,item22,pug,2.00,1.00,1.00,type,0.3775
dog,item22,pug,2.00,1.00,1.00,basicLevel,0.5403
dog,item22,pug,2.00,1.00,1.00,superDomain,0.0822
dog,item22,pug,2.50,1.00,1.00,type,0.3911
dog,item22,pug,2.50,1.00,1.00,basicLevel,0.5597
dog,item22,pug,2.50,1.00,1.00,superDomain,0.0492
dog,item22,pug,3.00,1.00,1.00,type,0.3994
dog,item22,pug,3.00,1.00,1.00,basicLevel,0.5716
dog,item22,pug,3.00,1.00,1.00,superDomain,0.0290
dog,item22,pug,3.50,1.00,1.00,type,0.4044
dog,item22,pug,3.50,1.00,1.00,basicLevel,0.5787
dog,item22,pug,3.50,1.00,1.00,superDomain,0.0169
dog,item22,pug,4.00,1.00,1.00,type,0.4073
dog,item22,pug,4.00,1.00,1.00,basicLevel,0.5829
dog,item22,pug,4.00,1.00,1.00,superDomain,0.0099
dog,item22,pug,4.50,1.00,1.00,type,0.4090
dog,item22,pug,4.50,1.00,1.00,basicLevel,0.5853
dog,item22,pug,4.50,1.00,1.00,superDomain,0.0057
dog,item22,pug,5.00,1.00,1.00,type,0.4100
dog,item22,pug,5.00,1.00,1.00,basicLevel,0.5867
dog,item22,pug,5.00,1.00,1.00,superDomain,0.0033
dog,item22,pug,5.50,1.00,1.00,type,0.4105
dog,item22,pug,5.50,1.00,1.00,basicLevel,0.5876
dog,item22,pug,5.50,1.00,1.00,superDomain,0.0019
dog,item22,pug,6.00,1.00,1.00,type,0.4109
dog,item22,pug,6.00,1.00,1.00,basicLevel,0.5880
dog,item22,pug,6.00,1.00,1.00,superDomain,0.0011
dog,item22,pug,6.50,1.00,1.00,type,0.4111
dog,item22,pug,6.50,1.00,1.00,basicLevel,0.5883
dog,item22,pug,6.50,1.00,1.00,superDomain,0.0006
dog,item22,pug,7.00,1.00,1.00,type,0.4112
dog,item22,pug,7.00,1.00,1.00,basicLevel,0.5885
dog,item22,pug,7.00,1.00,1.00,superDomain,0.0004
dog,item22,pug,7.50,1.00,1.00,type,0.4112
dog,item22,pug,7.50,1.00,1.00,basicLevel,0.5886
dog,item22,pug,7.50,1.00,1.00,superDomain,0.0002
dog,item22,pug,8.00,1.00,1.00,type,0.4113
dog,item22,pug,8.00,1.00,1.00,basicLevel,0.5886
dog,item22,pug,8.00,1.00,1.00,superDomain,0.0001
dog,item22,pug,8.50,1.00,1.00,type,0.4113
dog,item22,pug,8.50,1.00,1.00,basicLevel,0.5886
dog,item22,pug,8.50,1.00,1.00,superDomain,0.0001
dog,item22,pug,9.00,1.00,1.00,type,0.4113
dog,item22,pug,9.00,1.00,1.00,basicLevel,0.5887
dog,item22,pug,9.00,1.00,1.00,superDomain,0.0000
dog,item22,pug,9.50,1.00,1.00,type,0.4113
dog,item22,pug,9.50,1.00,1.00,basicLevel,0.5887
dog,item22,pug,9.50,1.00,1.00,superDomain,0.0000
dog,item22,germanShepherd,0.50,1.00,1.00,type,0.5110
dog,item22,germanShepherd,0.50,1.00,1.00,basicLevel,0.2731
dog,item22,germanShepherd,0.50,1.00,1.00,superDomain,0.2159
dog,item22,germanShepherd,1.00,1.00,1.00,type,0.5623
dog,item22,germanShepherd,1.00,1.00,1.00,basicLevel,0.3005
dog,item22,germanShepherd,1.00,1.00,1.00,superDomain,0.1372
dog,item22,germanShepherd,1.50,1.00,1.00,type,0.5969
dog,item22,germanShepherd,1.50,1.00,1.00,basicLevel,0.3190
dog,item22,germanShepherd,1.50,1.00,1.00,superDomain,0.0841
dog,item22,germanShepherd,2.00,1.00,1.00,type,0.6189
dog,item22,germanShepherd,2.00,1.00,1.00,basicLevel,0.3307
dog,item22,germanShepherd,2.00,1.00,1.00,superDomain,0.0503
dog,item22,germanShepherd,2.50,1.00,1.00,type,0.6324
dog,item22,germanShepherd,2.50,1.00,1.00,basicLevel,0.3379
dog,item22,germanShepherd,2.50,1.00,1.00,superDomain,0.0297
dog,item22,germanShepherd,3.00,1.00,1.00,type,0.6404
dog,item22,germanShepherd,3.00,1.00,1.00,basicLevel,0.3422
dog,item22,germanShepherd,3.00,1.00,1.00,superDomain,0.0174
dog,item22,germanShepherd,3.50,1.00,1.00,type,0.6452
dog,item22,germanShepherd,3.50,1.00,1.00,basicLevel,0.3448
dog,item22,germanShepherd,3.50,1.00,1.00,superDomain,0.0101
dog,item22,germanShepherd,4.00,1.00,1.00,type,0.6479
dog,item22,germanShepherd,4.00,1.00,1.00,basicLevel,0.3462
dog,item22,germanShepherd,4.00,1.00,1.00,superDomain,0.0059
dog,item22,germanShepherd,4.50,1.00,1.00,type,0.6495
dog,item22,germanShepherd,4.50,1.00,1.00,basicLevel,0.3471
dog,item22,germanShepherd,4.50,1.00,1.00,superDomain,0.0034
dog,item22,germanShepherd,5.00,1.00,1.00,type,0.6505
dog,item22,germanShepherd,5.00,1.00,1.00,basicLevel,0.3476
dog,item22,germanShepherd,5.00,1.00,1.00,superDomain,0.0020
dog,item22,germanShepherd,5.50,1.00,1.00,type,0.6510
dog,item22,germanShepherd,5.50,1.00,1.00,basicLevel,0.3479
dog,item22,germanShepherd,5.50,1.00,1.00,superDomain,0.0011
dog,item22,germanShepherd,6.00,1.00,1.00,type,0.6513
dog,item22,germanShepherd,6.00,1.00,1.00,basicLevel,0.3480
dog,item22,germanShepherd,6.00,1.00,1.00,superDomain,0.0007
dog,item22,germanShepherd,6.50,1.00,1.00,type,0.6515
dog,item22,germanShepherd,6.50,1.00,1.00,basicLevel,0.3481
dog,item22,germanShepherd,6.50,1.00,1.00,superDomain,0.0004
dog,item22,germanShepherd,7.00,1.00,1.00,type,0.6516
dog,item22,germanShepherd,7.00,1.00,1.00,basicLevel,0.3482
dog,item22,germanShepherd,7.00,1.00,1.00,superDomain,0.0002
dog,item22,germanShepherd,7.50,1.00,1.00,type,0.6517
dog,item22,germanShepherd,7.50,1.00,1.00,basicLevel,0.3482
dog,item22,germanShepherd,7.50,1.00,1.00,superDomain,0.0001
dog,item22,germanShepherd,8.00,1.00,1.00,type,0.6517
dog,item22,germanShepherd,8.00,1.00,1.00,basicLevel,0.3482
dog,item22,germanShepherd,8.00,1.00,1.00,superDomain,0.0001
dog,item22,germanShepherd,8.50,1.00,1.00,type,0.6517
dog,item22,germanShepherd,8.50,1.00,1.00,basicLevel,0.3483
dog,item22,germanShepherd,8.50,1.00,1.00,superDomain,0.0000
dog,item22,germanShepherd,9.00,1.00,1.00,type,0.6517
dog,item22,germanShepherd,9.00,1.00,1.00,basicLevel,0.3483
dog,item22,germanShepherd,9.00,1.00,1.00,superDomain,0.0000
dog,item22,germanShepherd,9.50,1.00,1.00,type,0.6517
dog,item22,germanShepherd,9.50,1.00,1.00,basicLevel,0.3483
dog,item22,germanShepherd,9.50,1.00,1.00,superDomain,0.0000
dog,item22,husky,0.50,1.00,1.00,type,0.3120
dog,item22,husky,0.50,1.00,1.00,basicLevel,0.3842
dog,item22,husky,0.50,1.00,1.00,superDomain,0.3038
dog,item22,husky,1.00,1.00,1.00,type,0.3579
dog,item22,husky,1.00,1.00,1.00,basicLevel,0.4408
dog,item22,husky,1.00,1.00,1.00,superDomain,0.2013
dog,item22,husky,1.50,1.00,1.00,type,0.3912
dog,item22,husky,1.50,1.00,1.00,basicLevel,0.4818
dog,item22,husky,1.50,1.00,1.00,superDomain,0.1270
dog,item22,husky,2.00,1.00,1.00,type,0.4134
dog,item22,husky,2.00,1.00,1.00,basicLevel,0.5091
dog,item22,husky,2.00,1.00,1.00,superDomain,0.0775
dog,item22,husky,2.50,1.00,1.00,type,0.4274
dog,item22,husky,2.50,1.00,1.00,basicLevel,0.5264
dog,item22,husky,2.50,1.00,1.00,superDomain,0.0462
dog,item22,husky,3.00,1.00,1.00,type,0.4359
dog,item22,husky,3.00,1.00,1.00,basicLevel,0.5368
dog,item22,husky,3.00,1.00,1.00,superDomain,0.0272
dog,item22,husky,3.50,1.00,1.00,type,0.4410
dog,item22,husky,3.50,1.00,1.00,basicLevel,0.5431
dog,item22,husky,3.50,1.00,1.00,superDomain,0.0159
dog,item22,husky,4.00,1.00,1.00,type,0.4440
dog,item22,husky,4.00,1.00,1.00,basicLevel,0.5468
dog,item22,husky,4.00,1.00,1.00,superDomain,0.0092
dog,item22,husky,4.50,1.00,1.00,type,0.4457
dog,item22,husky,4.50,1.00,1.00,basicLevel,0.5489
dog,item22,husky,4.50,1.00,1.00,superDomain,0.0054
dog,item22,husky,5.00,1.00,1.00,type,0.4467
dog,item22,husky,5.00,1.00,1.00,basicLevel,0.5502
dog,item22,husky,5.00,1.00,1.00,superDomain,0.0031
dog,item22,husky,5.50,1.00,1.00,type,0.4473
dog,item22,husky,5.50,1.00,1.00,basicLevel,0.5509
dog,item22,husky,5.50,1.00,1.00,superDomain,0.0018
dog,item22,husky,6.00,1.00,1.00,type,0.4477
