gameid; time; roundNum; trialType; condition; nameClickedObj; targetStatusClickedObj; spLocsClickedObj; lisLocsClickedObj; basiclevelClickedObj; superdomainClickedObj; alt1Name; alt1TargetStatus; alt1SpLocs; alt1LisLocs; alt1Basiclevel; alt1superdomain; alt2Name; alt2TargetStatus; alt2SpLocs; alt2LisLocs; alt2Basiclevel; alt2superdomain;numMessages;numSMessages;numLMessages;speakerMessages;listenerMessages;messageTimeStamps;refExp;sizeMentioned;colorMentioned;typeMentioned;otherFeatureMentioned;basiclevelMentioned;superClassMentioned;superclassattributeMentioned;utteranceContracted;oneMentioned;theMentioned;clickedType;clickedSize;clickedColor;colorPreNominal;sizePreNominal;;notes;;;alt1TypeLabelTest;alt1BLLabelTest;alt1DomainLabelTest;alt2TypeLabelTest;alt2BLLabelTest;alt2DomainLabelTest
5076-0;1.45E+12;5;subSuperTrial;distr22;tShirt;target;4;2;shirt;clothing;gloves;distrClass2;3;4;NA;clothing;bathrobe;distrClass2;2;3;NA;clothing;1;1;0;It has short sleeves;;1.45E+12;It has short sleeves;FALSE;FALSE;FALSE;TRUE;;;;;;;tShirt;NA;NA;;;;;;;gloves, tShirt;gloves, shirt;gloves, clothing;bathrobe, tShirt;bathrobe, shirt;bathrobe, clothing
5934-3;1.45E+12;5;subSuperTrial;distr22;tShirt;target;3;2;shirt;clothing;socks;distrClass2;2;4;NA;clothing;bathrobe;distrClass2;4;3;NA;clothing;1;1;0;the t-shirt;;1.45E+12;the t-shirt;FALSE;FALSE;TRUE;;;;;;;TRUE;tShirt;NA;NA;;;;;;;socks, tShirt;socks, shirt;socks, clothing;bathrobe, tShirt;bathrobe, shirt;bathrobe, clothing
1223-7;1.45E+12;8;subSuperTrial;distr22;picnicTable;target;4;3;table;furniture;lamp;distrClass2;3;2;NA;furniture;bed;distrClass2;2;4;NA;furniture;1;1;0;The picnic table;;1.45E+12;The picnic table;FALSE;FALSE;TRUE;;;;;;;TRUE;picnicTable;NA;NA;;;;;;;lamp, picnicTable;lamp, table;lamp, furniture;bed, picnicTable;bed, table;bed, furniture
9551-7;1.45E+12;55;subSuperTrial;distr22;diningTable;target;2;4;table;furniture;bookcase;distrClass2;4;2;NA;furniture;bed;distrClass2;3;3;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;diningTable;NA;NA;;;;;;;bookcase, diningTable;bookcase, table;bookcase, furniture;bed, diningTable;bed, table;bed, furniture
4393-a;1.45E+12;71;subSuperTrial;distr22;pug;target;3;3;dog;animal;rhino;distrClass2;2;4;NA;animal;bison;distrClass2;4;2;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;pug;NA;NA;;;;;;;rhino, pug;rhino, dog;rhino, animal;bison, pug;bison, dog;bison, animal
5628-2;1.45E+12;42;subSuperTrial;distr22;pug;target;3;3;dog;animal;crocodile;distrClass2;4;4;NA;animal;bison;distrClass2;2;2;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;pug;NA;NA;;;;;;;crocodile, pug;crocodile, dog;crocodile, animal;bison, pug;bison, dog;bison, animal
6456-4;1.45E+12;11;subSuperTrial;distr22;catfish;target;2;2;fish;animal;elephant;distrClass2;3;4;NA;animal;bison;distrClass2;4;3;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;catfish;NA;NA;;;;;;;elephant, catfish;elephant, fish;elephant, animal;bison, catfish;bison, fish;bison, animal
8430-f;1.45E+12;17;subSuperTrial;distr22;hummingBird;target;2;2;bird;animal;horse;distrClass2;3;4;NA;animal;bison;distrClass2;4;3;NA;animal;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;hummingBird;NA;NA;;;;;;;horse, hummingBird;horse, bird;horse, animal;bison, hummingBird;bison, bird;bison, animal
8286-0;1.45E+12;31;subSuperTrial;distr22;hawaiiShirt;target;2;2;shirt;clothing;dress;distrClass2;4;3;NA;clothing;bathrobe;distrClass2;3;4;NA;clothing;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;hawaiiShirt;NA;NA;;;;;;;dress, hawaiiShirt;dress, shirt;dress, clothing;bathrobe, hawaiiShirt;bathrobe, shirt;bathrobe, clothing
7111-e;1.45E+12;65;subSuperTrial;distr22;bedsideTable;target;4;4;table;furniture;lamp;distrClass2;2;3;NA;furniture;bed;distrClass2;3;2;NA;furniture;1;1;0;wood drawer;;1.45E+12;wood drawer;FALSE;FALSE;FALSE;TRUE;;;;;;;bedsideTable;NA;NA;;;;;;;lamp, bedsideTable;lamp, table;lamp, furniture;bed, bedsideTable;bed, table;bed, furniture
3158-b;1.45E+12;68;subSuperTrial;distr22;picnicTable;target;2;3;table;furniture;wardrobe;distrClass2;4;4;NA;furniture;bed;distrClass2;3;2;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;picnicTable;NA;NA;;;;;;;wardrobe, picnicTable;wardrobe, table;wardrobe, furniture;bed, picnicTable;bed, table;bed, furniture
8258-f;1.45E+12;13;subSuperTrial;distr22;coffeeTable;target;2;2;table;furniture;bookcase;distrClass2;4;3;NA;furniture;bed;distrClass2;3;4;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;coffeeTable;NA;NA;;;;;;;bookcase, coffeeTable;bookcase, table;bookcase, furniture;bed, coffeeTable;bed, table;bed, furniture
5512-7;1.45E+12;56;subSuperTrial;distr22;bedsideTable;target;4;3;table;furniture;wardrobe;distrClass2;2;2;NA;furniture;bed;distrClass2;3;4;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;bedsideTable;NA;NA;;;;;;;wardrobe, bedsideTable;wardrobe, table;wardrobe, furniture;bed, bedsideTable;bed, table;bed, furniture
8684-3;1.45E+12;40;subSuperTrial;distr22;goldFish;target;4;4;fish;animal;sheep;distrClass2;3;3;NA;animal;bison;distrClass2;2;2;NA;animal;2;2;0;me too___swims;;1449255088649___1449255091801;me too;FALSE;FALSE;FALSE;;;;TRUE;;;;goldFish;NA;NA;;;;;;;sheep, goldFish;sheep, fish;sheep, animal;bison, goldFish;bison, fish;bison, animal
8286-0;1.45E+12;22;subSuperTrial;distr22;minivan;target;4;3;car;vehicle;motorcycle;distrClass2;3;2;NA;vehicle;ambulance;distrClass2;2;4;NA;vehicle;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;minivan;NA;NA;;;;;;;motorcycle, minivan;motorcycle, car;motorcycle, vehicle;ambulance, minivan;ambulance, car;ambulance, vehicle
6456-4;1.45E+12;46;subSuperTrial;distr22;poloShirt;target;3;3;shirt;clothing;socks;distrClass2;2;2;NA;clothing;bathrobe;distrClass2;4;4;NA;clothing;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;poloShirt;NA;NA;;;;;;;socks, poloShirt;socks, shirt;socks, clothing;bathrobe, poloShirt;bathrobe, shirt;bathrobe, clothing
8286-0;1.45E+12;14;subSuperTrial;distr22;coffeeTable;target;2;2;table;furniture;bookcase;distrClass2;4;3;NA;furniture;bed;distrClass2;3;4;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;coffeeTable;NA;NA;;;;;;;bookcase, coffeeTable;bookcase, table;bookcase, furniture;bed, coffeeTable;bed, table;bed, furniture
3504-8;1.45E+12;9;subSuperTrial;distr22;bedsideTable;target;3;4;table;furniture;lamp;distrClass2;2;2;NA;furniture;bed;distrClass2;4;3;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;bedsideTable;NA;NA;;;;;;;lamp, bedsideTable;lamp, table;lamp, furniture;bed, bedsideTable;bed, table;bed, furniture
7830-a;1.45E+12;22;subSuperTrial;distr22;bedsideTable;target;4;3;table;furniture;wardrobe;distrClass2;2;2;NA;furniture;bed;distrClass2;3;4;NA;furniture;1;1;0;2 draws;;1.45E+12;2 draws;FALSE;FALSE;FALSE;TRUE;;;;;;;bedsideTable;NA;NA;;;;;;;wardrobe, bedsideTable;wardrobe, table;wardrobe, furniture;bed, bedsideTable;bed, table;bed, furniture
8286-0;1.45E+12;17;subSuperTrial;distr22;swordFish;target;2;4;fish;animal;horse;distrClass2;3;2;NA;animal;bison;distrClass2;4;3;NA;animal;1;1;0;shark;;1.45E+12;shark;FALSE;FALSE;TRUE;;;;;;;;swordFish;NA;NA;;;;;;;horse, swordFish;horse, fish;horse, animal;bison, swordFish;bison, fish;bison, animal
4393-a;1.45E+12;60;subSuperTrial;distr22;bedsideTable;target;4;3;table;furniture;wardrobe;distrClass2;2;4;NA;furniture;bookcase;distrClass2;3;2;NA;furniture;2;2;0;2 drawer wooden thing___Like a dresser;;1449254992357___1449254996903;2 drawer wooden thing;FALSE;FALSE;FALSE;TRUE;;;;;;;bedsideTable;NA;NA;;;;;;;wardrobe, bedsideTable;wardrobe, table;wardrobe, furniture;bookcase, bedsideTable;bookcase, table;bookcase, furniture
2919-a;1.45E+12;39;subSuperTrial;distr22;blackBear;target;4;3;bear;animal;kitten;distrClass2;2;4;NA;animal;chick;distrClass2;3;2;NA;animal;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;blackBear;NA;NA;;;;;;;kitten, blackBear;kitten, bear;kitten, animal;chick, blackBear;chick, bear;chick, animal
0198-d;1.45E+12;61;subSuperTrial;distr22;polarBear;target;2;2;bear;animal;squirrel;distrClass2;4;4;NA;animal;chick;distrClass2;3;3;NA;animal;1;1;0;polar bear;;1.45E+12;polar bear;FALSE;FALSE;TRUE;;;;;;;;polarBear;NA;NA;;;;;;;squirrel, polarBear;squirrel, bear;squirrel, animal;chick, polarBear;chick, bear;chick, animal
7111-e;1.45E+12;54;subSuperTrial;distr22;skittles;target;2;4;candy;snack;pretzels;distrClass2;4;3;NA;snack;chips;distrClass2;3;2;NA;snack;1;1;0;rainbow;;1.45E+12;rainbow;FALSE;FALSE;FALSE;TRUE;;;;;;;skittles;NA;NA;;;;;;;pretzels, skittles;pretzels, candy;pretzels, snack;chips, skittles;chips, candy;chips, snack
5512-7;1.45E+12;39;subSuperTrial;distr22;hawaiiShirt;target;2;4;shirt;clothing;bathrobe;distrClass2;4;3;NA;clothing;dress;distrClass2;3;2;NA;clothing;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;hawaiiShirt;NA;NA;;;;;;;bathrobe, hawaiiShirt;bathrobe, shirt;bathrobe, clothing;dress, hawaiiShirt;dress, shirt;dress, clothing
0198-d;1.45E+12;70;subSuperTrial;distr22;dressShirt;target;3;2;shirt;clothing;gloves;distrClass2;2;3;NA;clothing;dress;distrClass2;4;4;NA;clothing;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;dressShirt;NA;NA;;;;;;;gloves, dressShirt;gloves, shirt;gloves, clothing;dress, dressShirt;dress, shirt;dress, clothing
9807-5;1.45E+12;51;subSuperTrial;distr22;dressShirt;target;2;2;shirt;clothing;socks;distrClass2;3;3;NA;clothing;dress;distrClass2;4;4;NA;clothing;1;1;0;blue shirt;;1.45E+12;blue shirt;FALSE;TRUE;FALSE;;TRUE;;;;;;dressShirt;NA;NA;;;;;;;socks, dressShirt;socks, shirt;socks, clothing;dress, dressShirt;dress, shirt;dress, clothing
7111-e;1.45E+12;29;subSuperTrial;distr22;poloShirt;target;2;4;shirt;clothing;socks;distrClass2;3;2;NA;clothing;dress;distrClass2;4;3;NA;clothing;1;1;0;blue;;1.45E+12;blue;FALSE;TRUE;FALSE;;;;;;;;poloShirt;NA;NA;;;;;;;socks, poloShirt;socks, shirt;socks, clothing;dress, poloShirt;dress, shirt;dress, clothing
5934-3;1.45E+12;47;subSuperTrial;distr22;catfish;target;2;2;fish;animal;chick;distrClass2;3;3;NA;animal;elephant;distrClass2;4;4;NA;animal;1;1;0;catfish;;1.45E+12;catfish;FALSE;FALSE;TRUE;;;;;;;;catfish;NA;NA;;;;;;;chick, catfish;chick, fish;chick, animal;elephant, catfish;elephant, fish;elephant, animal
4842-f;1.45E+12;5;subSuperTrial;distr22;sportsCar;target;4;3;car;vehicle;ambulance;distrClass2;3;4;NA;vehicle;firetruck;distrClass2;2;2;NA;vehicle;1;1;0;fastest one in the group;;1.45E+12;fastest one in the group;FALSE;FALSE;FALSE;TRUE;;;;;;;sportsCar;NA;NA;;;;;;;ambulance, sportsCar;ambulance, car;ambulance, vehicle;firetruck, sportsCar;firetruck, car;firetruck, vehicle
3293-5;1.45E+12;12;subSuperTrial;distr22;daisy;target;2;2;flower;plant;rosemary;distrClass2;4;3;NA;plant;grasses;distrClass2;3;4;NA;plant;1;1;0;flower;;1.45E+12;flower;FALSE;FALSE;FALSE;;TRUE;;;;;;daisy;NA;NA;;;;;;;rosemary, daisy;rosemary, flower;rosemary, plant;grasses, daisy;grasses, flower;grasses, plant
9551-7;1.45E+12;66;subSuperTrial;distr22;eagle;target;3;3;bird;animal;snake;distrClass2;2;2;NA;animal;horse;distrClass2;4;4;NA;animal;1;1;0;eagle;;1.45E+12;eagle;FALSE;FALSE;TRUE;;;;;;;;eagle;NA;NA;;;;;;;snake, eagle;snake, bird;snake, animal;horse, eagle;horse, bird;horse, animal
8430-f;1.45E+12;31;subSuperTrial;distr22;goldFish;target;4;3;fish;animal;lobster;distrClass2;3;2;NA;animal;iguana;distrClass2;2;4;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;goldFish;NA;NA;;;;;;;lobster, goldFish;lobster, fish;lobster, animal;iguana, goldFish;iguana, fish;iguana, animal
7830-a;1.45E+12;18;subSuperTrial;distr22;sunflower;target;3;2;flower;plant;grasses;distrClass2;4;4;NA;plant;ivy;distrClass2;2;3;NA;plant;1;1;0;yellow;;1.45E+12;yellow;FALSE;TRUE;FALSE;;;;;;;;sunflower;NA;NA;;;;;;;grasses, sunflower;grasses, flower;grasses, plant;ivy, sunflower;ivy, flower;ivy, plant
5934-3;1.45E+12;6;subSuperTrial;distr22;rose;target;3;2;flower;plant;rosemary;distrClass2;4;3;NA;plant;ivy;distrClass2;2;4;NA;plant;1;1;0;the rose;;1.45E+12;the rose;FALSE;FALSE;TRUE;;;;;;;TRUE;rose;NA;NA;;;;;;;rosemary, rose;rosemary, flower;rosemary, plant;ivy, rose;ivy, flower;ivy, plant
5975-e;1.45E+12;39;subSuperTrial;distr22;swordFish;target;3;4;fish;animal;rhino;distrClass2;4;3;NA;animal;lion;distrClass2;2;2;NA;animal;1;1;0;blue;;1.45E+12;blue;FALSE;TRUE;FALSE;;;;;;;;swordFish;NA;NA;;;;;;;rhino, swordFish;rhino, fish;rhino, animal;lion, swordFish;lion, fish;lion, animal
8258-f;1.45E+12;44;subSuperTrial;distr22;pug;target;3;2;dog;animal;snake;distrClass2;4;3;NA;animal;lion;distrClass2;2;4;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;pug;NA;NA;;;;;;;snake, pug;snake, dog;snake, animal;lion, pug;lion, dog;lion, animal
7830-a;1.45E+12;26;subSuperTrial;distr22;suv;target;3;2;car;vehicle;firetruck;distrClass2;2;4;NA;vehicle;motorcycle;distrClass2;4;3;NA;vehicle;1;1;0;white;;1.45E+12;white;FALSE;TRUE;FALSE;;;;;;;;suv;NA;NA;;;;;;;firetruck, suv;firetruck, car;firetruck, vehicle;motorcycle, suv;motorcycle, car;motorcycle, vehicle
6456-4;1.45E+12;36;subSuperTrial;distr22;swordFish;target;2;2;fish;animal;elephant;distrClass2;4;4;NA;animal;pig;distrClass2;3;3;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;swordFish;NA;NA;;;;;;;elephant, swordFish;elephant, fish;elephant, animal;pig, swordFish;pig, fish;pig, animal
7111-e;1.45E+12;22;subSuperTrial;distr22;pug;target;2;4;dog;animal;sheep;distrClass2;3;3;NA;animal;pig;distrClass2;4;2;NA;animal;1;1;0;smoosh face ;;1.45E+12;smoosh face ;FALSE;FALSE;FALSE;TRUE;;;;;;;pug;NA;NA;;;;;;;sheep, pug;sheep, dog;sheep, animal;pig, pug;pig, dog;pig, animal
4842-f;1.45E+12;56;subSuperTrial;distr22;daisy;target;3;3;flower;plant;grasses;distrClass2;2;2;NA;plant;pottedPlant;distrClass2;4;4;NA;plant;1;1;0;most beaitufl;;1.45E+12;most beaitufl;FALSE;FALSE;FALSE;TRUE;;;;;;;daisy;NA;NA;;;;;;;grasses, daisy;grasses, flower;grasses, plant;pottedPlant, daisy;pottedPlant, flower;pottedPlant, plant
5628-2;1.45E+12;65;subSuperTrial;distr22;daisy;target;2;3;flower;plant;ivy;distrClass2;3;4;NA;plant;pottedPlant;distrClass2;4;2;NA;plant;1;1;0;flower;;1.45E+12;flower;FALSE;FALSE;FALSE;;TRUE;;;;;;daisy;NA;NA;;;;;;;ivy, daisy;ivy, flower;ivy, plant;pottedPlant, daisy;pottedPlant, flower;pottedPlant, plant
5076-0;1.45E+12;39;subSuperTrial;distr22;catfish;target;4;2;fish;animal;bison;distrClass2;3;4;NA;animal;rabbit;distrClass2;2;3;NA;animal;1;1;0;Lives underwater;;1.45E+12;Lives underwater;FALSE;FALSE;FALSE;;;;TRUE;;;;catfish;NA;NA;;;;;;;bison, catfish;bison, fish;bison, animal;rabbit, catfish;rabbit, fish;rabbit, animal
3504-8;1.45E+12;68;subSuperTrial;distr22;pug;target;3;4;dog;animal;pig;distrClass2;2;2;NA;animal;rabbit;distrClass2;4;3;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;pug;NA;NA;;;;;;;pig, pug;pig, dog;pig, animal;rabbit, pug;rabbit, dog;rabbit, animal
6456-4;1.45E+12;13;subSuperTrial;distr22;husky;target;3;3;dog;animal;squirrel;distrClass2;2;4;NA;animal;rabbit;distrClass2;4;2;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;husky;NA;NA;;;;;;;squirrel, husky;squirrel, dog;squirrel, animal;rabbit, husky;rabbit, dog;rabbit, animal
5239-5;1.45E+12;51;subSuperTrial;distr22;germanShepherd;target;4;3;dog;animal;chick;distrClass2;2;2;NA;animal;rhino;distrClass2;3;4;NA;animal;1;1;0;german shepard;;1.45E+12;german shepard;FALSE;FALSE;TRUE;;;;;;;;germanShepherd;NA;NA;;;;;;;chick, germanShepherd;chick, dog;chick, animal;rhino, germanShepherd;rhino, dog;rhino, animal
5239-5;1.45E+12;66;subSuperTrial;distr22;pigeon;target;3;4;bird;animal;sheep;distrClass2;2;2;NA;animal;rhino;distrClass2;4;3;NA;animal;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;pigeon;NA;NA;;;;;;;sheep, pigeon;sheep, bird;sheep, animal;rhino, pigeon;rhino, bird;rhino, animal
5975-e;1.45E+12;18;subSuperTrial;distr22;tulip;target;4;2;flower;plant;grasses;distrClass2;3;4;NA;plant;rosemary;distrClass2;2;3;NA;plant;1;1;0;flower;;1.45E+12;flower;FALSE;FALSE;FALSE;;TRUE;;;;;;tulip;NA;NA;;;;;;;grasses, tulip;grasses, flower;grasses, plant;rosemary, tulip;rosemary, flower;rosemary, plant
0198-d;1.45E+12;65;subSuperTrial;distr22;daisy;target;4;2;flower;plant;ivy;distrClass2;2;3;NA;plant;rosemary;distrClass2;3;4;NA;plant;1;1;0;flower;;1.45E+12;flower;FALSE;FALSE;FALSE;;TRUE;;;;;;daisy;NA;NA;;;;;;;ivy, daisy;ivy, flower;ivy, plant;rosemary, daisy;rosemary, flower;rosemary, plant
3504-8;1.45E+12;1;subSuperTrial;distr22;tulip;target;2;2;flower;plant;pottedPlant;distrClass2;4;3;NA;plant;rosemary;distrClass2;3;4;NA;plant;1;1;0;flower;;1.45E+12;flower;FALSE;FALSE;FALSE;;TRUE;;;;;;tulip;NA;NA;;;;;;;pottedPlant, tulip;pottedPlant, flower;pottedPlant, plant;rosemary, tulip;rosemary, flower;rosemary, plant
4393-a;1.45E+12;31;subSuperTrial;distr22;pandaBear;target;3;3;bear;animal;iguana;distrClass2;2;4;NA;animal;sheep;distrClass2;4;2;NA;animal;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;pandaBear;NA;NA;;;;;;;iguana, pandaBear;iguana, bear;iguana, animal;sheep, pandaBear;sheep, bear;sheep, animal
7111-e;1.45E+12;6;subSuperTrial;distr22;eagle;target;2;4;bird;animal;rhino;distrClass2;4;2;NA;animal;sheep;distrClass2;3;3;NA;animal;1;1;0;FREEDOM FLY;;1.45E+12;FREEDOM FLY;FALSE;FALSE;FALSE;TRUE;;;TRUE;;;;eagle;NA;NA;;;;;;;rhino, eagle;rhino, bird;rhino, animal;sheep, eagle;sheep, bird;sheep, animal
3293-5;1.45E+12;65;subSuperTrial;distr22;goldFish;target;3;4;fish;animal;rabbit;distrClass2;2;3;NA;animal;snake;distrClass2;4;2;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;goldFish;NA;NA;;;;;;;rabbit, goldFish;rabbit, fish;rabbit, animal;snake, goldFish;snake, fish;snake, animal
7830-a;1.45E+12;68;subSuperTrial;distr22;hawaiiShirt;target;4;3;shirt;clothing;gloves;distrClass2;3;4;NA;clothing;socks;distrClass2;2;2;NA;clothing;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;hawaiiShirt;NA;NA;;;;;;;gloves, hawaiiShirt;gloves, shirt;gloves, clothing;socks, hawaiiShirt;socks, shirt;socks, clothing
4517-f;1.45E+12;58;subSuperTrial;distr22;clownFish;target;4;4;fish;animal;iguana;distrClass2;3;2;NA;animal;squirrel;distrClass2;2;3;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;clownFish;NA;NA;;;;;;;iguana, clownFish;iguana, fish;iguana, animal;squirrel, clownFish;squirrel, fish;squirrel, animal
5512-7;1.45E+12;12;subSuperTrial;distr22;diningTable;target;2;4;table;furniture;bookcase;distrClass2;3;3;NA;furniture;wardrobe;distrClass2;4;2;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;diningTable;NA;NA;;;;;;;bookcase, diningTable;bookcase, table;bookcase, furniture;wardrobe, diningTable;wardrobe, table;wardrobe, furniture
3158-b;1.45E+12;8;subSuperTrial;distr22;coffeeTable;target;4;2;table;furniture;bookcase;distrClass2;3;4;NA;furniture;wardrobe;distrClass2;2;3;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;coffeeTable;NA;NA;;;;;;;bookcase, coffeeTable;bookcase, table;bookcase, furniture;wardrobe, coffeeTable;wardrobe, table;wardrobe, furniture
5975-e;1.45E+12;42;subSuperTrial;distr22;bedsideTable;target;2;4;table;furniture;lamp;distrClass2;4;3;NA;furniture;bookcase;distrClass2;3;2;NA;furniture;1;1;0;wood;;1.45E+12;wood;FALSE;FALSE;FALSE;TRUE;;;;;;;bedsideTable;NA;NA;;;;;;;lamp, bedsideTable;lamp, table;lamp, furniture;bookcase, bedsideTable;bookcase, table;bookcase, furniture
5628-2;1.45E+12;17;subSuperTrial;distr22;bedsideTable;target;2;2;table;furniture;wardrobe;distrClass2;4;4;NA;furniture;bookcase;distrClass2;3;3;NA;furniture;1;1;0;drawers;;1.45E+12;drawers;FALSE;FALSE;FALSE;TRUE;;;;;;;bedsideTable;NA;NA;;;;;;;wardrobe, bedsideTable;wardrobe, table;wardrobe, furniture;bookcase, bedsideTable;bookcase, table;bookcase, furniture
8286-0;1.45E+12;18;subSuperTrial;distr22;hummingBird;target;4;3;bird;animal;snake;distrClass2;3;4;NA;animal;chick;distrClass2;2;2;NA;animal;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;hummingBird;NA;NA;;;;;;;snake, hummingBird;snake, bird;snake, animal;chick, hummingBird;chick, bird;chick, animal
5628-2;1.45E+12;10;subSuperTrial;distr22;skittles;target;4;3;candy;snack;pretzels;distrClass2;2;2;NA;snack;chips;distrClass2;3;4;NA;snack;1;1;0;skittles;;1.45E+12;skittles;FALSE;FALSE;TRUE;;;;;;;;skittles;NA;NA;;;;;;;pretzels, skittles;pretzels, candy;pretzels, snack;chips, skittles;chips, candy;chips, snack
7111-e;1.45E+12;56;subSuperTrial;distr22;jellyBeans;target;2;4;candy;snack;popcorn;distrClass2;4;3;NA;snack;chips;distrClass2;3;2;NA;snack;1;1;0;rainbow;;1.45E+12;rainbow;FALSE;FALSE;FALSE;TRUE;;;;;;;jellyBeans;NA;NA;;;;;;;popcorn, jellyBeans;popcorn, candy;popcorn, snack;chips, jellyBeans;chips, candy;chips, snack
4452-5;1.45E+12;61;subSuperTrial;distr22;gummyBears;target;2;4;candy;snack;chips;distrClass2;3;3;NA;snack;cookies;distrClass2;4;2;NA;snack;1;1;0;gummy bears;;1.45E+12;gummy bears;FALSE;FALSE;TRUE;;;;;;;;gummyBears;NA;NA;;;;;;;chips, gummyBears;chips, candy;chips, snack;cookies, gummyBears;cookies, candy;cookies, snack
8684-3;1.45E+12;63;subSuperTrial;distr22;jellyBeans;target;3;2;candy;snack;chips;distrClass2;4;4;NA;snack;cookies;distrClass2;2;3;NA;snack;1;1;0;sweet;;1.45E+12;sweet;FALSE;FALSE;FALSE;TRUE;;;;;;;jellyBeans;NA;NA;;;;;;;chips, jellyBeans;chips, candy;chips, snack;cookies, jellyBeans;cookies, candy;cookies, snack
2919-a;1.45E+12;13;subSuperTrial;distr22;pigeon;target;2;4;bird;animal;crocodile;distrClass2;4;3;NA;animal;cow;distrClass2;3;2;NA;animal;1;1;0;pigeon;;1.45E+12;pigeon;FALSE;FALSE;TRUE;;;;;;;;pigeon;NA;NA;;;;;;;crocodile, pigeon;crocodile, bird;crocodile, animal;cow, pigeon;cow, bird;cow, animal
3293-5;1.45E+12;60;subSuperTrial;distr22;dalmatian;target;3;3;dog;animal;pig;distrClass2;2;2;NA;animal;cow;distrClass2;4;4;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;dalmatian;NA;NA;;;;;;;pig, dalmatian;pig, dog;pig, animal;cow, dalmatian;cow, dog;cow, animal
3293-5;1.45E+12;56;subSuperTrial;distr22;polarBear;target;4;3;bear;animal;kitten;distrClass2;3;4;NA;animal;crocodile;distrClass2;2;2;NA;animal;1;1;0;polar;;1.45E+12;polar;FALSE;FALSE;TRUE;;;;;TRUE;;;polarBear;NA;NA;;;;;;;kitten, polarBear;kitten, bear;kitten, animal;crocodile, polarBear;crocodile, bear;crocodile, animal
4452-5;1.45E+12;24;subSuperTrial;distr22;parrot;target;2;2;bird;animal;lion;distrClass2;3;4;NA;animal;crocodile;distrClass2;4;3;NA;animal;1;1;0;parrot;;1.45E+12;parrot;FALSE;FALSE;TRUE;;;;;;;;parrot;NA;NA;;;;;;;lion, parrot;lion, bird;lion, animal;crocodile, parrot;crocodile, bird;crocodile, animal
