"","X","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","typeMentioned_after_manual_correction","clickedType","clickedSize","clickedColor","column1","column2","column3","column4","column5"
"223",456,"5628-2",1449254911729,24,"subSuperTrial","distr12","convertible","target",4,4,"car","vehicle","motorcycle","distrClass2",2,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"sedan","distrClass1",3,2,"car","vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"convertible","","1449254910395","convertible","False","False","True",TRUE,"convertible",NA,NA,"",NA,NA,NA,NA
"224",457,"5628-2",1449254917454,25,"subSuperTrial","distr23","jellyBeans","target",3,2,"candy","snack","cookies","distrClass2",2,4,NA,"snack","firetruck","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"jellybeans","","1449254916237","jellybeans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"225",461,"5628-2",1449254938713,29,"subSuperTrial","distr33","gummyBears","target",4,4,"candy","snack","firetruck","distrClass3",3,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"chick","distrClass3",2,3,NA,"animal",1,1,0,"gummi bear","","1449254937196","gummi bear","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"226",462,"5628-2",1449254943419,30,"subSuperTrial","distr23","swordFish","target",4,4,"fish","animal","cookies","distrClass3",3,2,NA,"snack","blackStimulus",NA,5,5,NA,NA,"rhino","distrClass2",2,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"marlin","","1449254942061","marlin","False","False","False",TRUE,"swordFish",NA,NA,"",NA,NA,NA,NA
"229",468,"5628-2",1449254981118,36,"subSuperTrial","distr12","goldFish","target",2,2,"fish","animal","blackStimulus",NA,5,5,NA,NA,"kitten","distrClass2",4,3,NA,"animal","discusFish","distrClass1",3,4,"fish","animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"goldfish","","1449254979408","goldfish","False","False","False",TRUE,"goldFish",NA,NA,"",NA,NA,NA,NA
"236",481,"5628-2",1449255040149,49,"subSuperTrial","distr12","minivan","target",3,2,"car","vehicle","sedan","distrClass1",4,4,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"train","distrClass2",2,3,NA,"vehicle",1,1,0,"van","","1449255038381","van","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"246",500,"5628-2",1449255131722,68,"subSuperTrial","distr22","rose","target",3,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass2",4,3,NA,"plant","blackStimulus",NA,5,5,NA,NA,"rosemary","distrClass2",2,2,NA,"plant",1,1,0,"rose","","1449255130647","rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"249",505,"8430-f",1449255078656,1,"subSuperTrial","distr12","pandaBear","target",4,4,"bear","animal","koalaBear","distrClass1",2,2,"bear","animal","blackStimulus",NA,5,5,NA,NA,"rabbit","distrClass2",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"panda","","1449255074921","panda","False","False","False",TRUE,"pandaBear",NA,NA,"",NA,NA,NA,NA
"253",511,"8430-f",1449255113913,7,"subSuperTrial","distr12","jellyBeans","target",4,2,"candy","snack","blackStimulus",NA,5,5,NA,NA,"candyCorn","distrClass1",3,3,"candy","snack","popcorn","distrClass2",2,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,1,1,0,"jelly beans","","1449255112149","jelly beans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"254",513,"8430-f",1449255122944,9,"subSuperTrial","distr23","tulip","target",2,4,"flower","plant","rosemary","distrClass2",3,2,NA,"plant","lamp","distrClass3",4,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"rose","","1449255121518","rose","False","False","False",TRUE,"tulip",NA,NA,"",NA,NA,NA,NA
"258",523,"8430-f",1449255171377,19,"subSuperTrial","distr12","skittles","target",2,2,"candy","snack","candyCorn","distrClass1",4,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"chips","distrClass2",3,4,NA,"snack",1,1,0,"skittles","","1449255169605","skittles","False","False","True",TRUE,"skittles",NA,NA,"",NA,NA,NA,NA
"263",531,"8430-f",1449255233545,27,"subSuperTrial","distr12","rose","target",4,2,"flower","plant","rosemary","distrClass2",3,3,NA,"plant","lily","distrClass1",2,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"rose","","1449255231923","rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"264",532,"8430-f",1449255243178,28,"subSuperTrial","distr12","polarBear","target",4,3,"bear","animal","koalaBear","distrClass1",2,4,"bear","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pig","distrClass2",3,2,NA,"animal",4,3,1,"bear___polar___lol","lol","1449255236402___1449255238617___1449255242586___1449255244156","bear","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"266",536,"8430-f",1449255264555,32,"subSuperTrial","distr33","gummyBears","target",2,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,"wardrobe","distrClass3",4,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"ivy","distrClass3",3,4,NA,"plant",1,1,0,"bears","","1449255262353","bears","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"267",541,"8430-f",1449255289255,37,"subSuperTrial","distr33","coffeeTable","target",3,3,"table","furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"lion","distrClass3",4,4,NA,"animal","pretzels","distrClass3",2,2,NA,"snack",1,1,0,"desk","","1449255287456","desk","False","False","False",TRUE,"coffeeTable",NA,NA,"",NA,NA,NA,NA
"268",543,"8430-f",1449255300690,39,"subSuperTrial","distr22","swordFish","target",2,4,"fish","animal","blackStimulus",NA,5,5,NA,NA,"lobster","distrClass2",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"pig","distrClass2",4,2,NA,"animal",1,1,0,"swordfish","","1449255299152","swordfish","False","False","False",TRUE,"swordFish",NA,NA,"",NA,NA,NA,NA
"270",545,"8430-f",1449255310844,41,"subSuperTrial","distr12","mnMs","target",2,2,"candy","snack","blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass2",3,3,NA,"snack","blackStimulus",NA,1,1,NA,NA,"candyCorn","distrClass1",4,4,"candy","snack",1,1,0,"m&ms","","1449255309103","m&ms","False","False","False",TRUE,"mnMs",NA,NA,"",NA,NA,NA,NA
"271",546,"8430-f",1449255318183,42,"subSuperTrial","distr12","diningTable","target",4,3,"table","furniture","bookcase","distrClass2",3,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"sideTable","distrClass1",2,2,"table","furniture","blackStimulus",NA,5,5,NA,NA,2,2,0,"desk ___long one","","1449255314938___1449255316072","desk ","False","False","False",TRUE,"diningTable",NA,NA,"",NA,NA,NA,NA
"275",555,"8430-f",1449255362889,51,"subSuperTrial","distr22","picnicTable","target",2,3,"table","furniture","bookcase","distrClass2",4,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"wardrobe","distrClass2",3,4,NA,"furniture","blackStimulus",NA,5,5,NA,NA,2,2,0,"good job so far!___picnic","","1449255359603___1449255360627","good job so far!","False","False","False",TRUE,"picnicTable",NA,NA,"",NA,NA,NA,NA
"278",564,"8430-f",1449255406362,60,"subSuperTrial","distr23","minivan","target",3,2,"car","vehicle","pretzels","distrClass3",4,3,NA,"snack","motorcycle","distrClass2",2,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"van","","1449255404693","van","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"281",572,"8430-f",1449255443283,68,"subSuperTrial","distr12","pug","target",4,3,"dog","animal","blackStimulus",NA,1,1,NA,NA,"lion","distrClass2",2,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"greyhound","distrClass1",3,2,"dog","animal",2,2,0,"dog___pug","","1449255440333___1449255442000","dog","False","False","False",TRUE,"pug",NA,NA,"",NA,NA,NA,NA
"282",573,"8430-f",1449255448032,69,"subSuperTrial","distr12","eagle","target",3,3,"bird","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"cow","distrClass2",2,2,NA,"animal","sparrow","distrClass1",4,4,"bird","animal",1,1,0,"eagle","","1449255446420","eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"285",580,"4517-f",1449255186501,4,"subSuperTrial","distr12","rose","target",4,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",2,2,"flower","plant","pottedPlant","distrClass2",3,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,1,1,0,"red rose","","1449255184929","red rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"286",581,"4517-f",1449255192114,5,"subSuperTrial","distr33","hawaiiShirt","target",3,3,"shirt","clothing","firetruck","distrClass3",4,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"train","distrClass3",2,2,NA,"vehicle",1,1,0,"t-shirt","","1449255190801","t-shirt","False","False","False",TRUE,"hawaiiShirt",NA,NA,"",NA,NA,NA,NA
"287",582,"4517-f",1449255196121,6,"subSuperTrial","distr33","eagle","target",2,2,"bird","animal","popcorn","distrClass3",3,3,NA,"snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"dress","distrClass3",4,4,NA,"clothing",1,1,0,"eagle","","1449255194796","eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"288",583,"4517-f",1449255201753,7,"subSuperTrial","distr12","goldFish","target",2,3,"fish","animal","discusFish","distrClass1",3,4,"fish","animal","blackStimulus",NA,1,1,NA,NA,"bison","distrClass2",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,2,2,0,"im confused this is so easy___goldfish","","1449255199408___1449255200217","im confused this is so easy","False","False","False",TRUE,"goldFish",NA,NA,"",NA,NA,NA,NA
"289",586,"4517-f",1449255217177,10,"subSuperTrial","distr22","blackBear","target",3,3,"bear","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"iguana","distrClass2",2,2,NA,"animal","pig","distrClass2",4,4,NA,"animal",1,1,0,"black bear","","1449255216384","black bear","False","False","False",TRUE,"blackBear",NA,NA,"",NA,NA,NA,NA
"290",587,"4517-f",1449255222467,11,"subSuperTrial","distr12","polarBear","target",3,4,"bear","animal","koalaBear","distrClass1",2,2,"bear","animal","cow","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"polar bear","","1449255220701","polar bear","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"294",599,"4517-f",1449255275274,23,"subSuperTrial","distr23","mnMs","target",2,4,"candy","snack","rhino","distrClass3",3,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass2",4,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,1,1,0,"m&m","","1449255274001","m&m","False","False","False",TRUE,"mnMs",NA,NA,"",NA,NA,NA,NA
"300",608,"4517-f",1449255311699,32,"subSuperTrial","distr22","gummyBears","target",3,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pretzels","distrClass2",4,4,NA,"snack","chips","distrClass2",2,2,NA,"snack",1,1,0,"gummis","","1449255310344","gummis","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"302",610,"4517-f",1449255318694,34,"subSuperTrial","distr23","bedsideTable","target",2,3,"table","furniture","horse","distrClass3",3,4,NA,"animal","bed","distrClass2",4,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"chest","","1449255317679","chest","False","False","False",TRUE,"bedsideTable",NA,NA,"",NA,NA,NA,NA
"303",614,"4517-f",1449255336233,38,"subSuperTrial","distr33","minivan","target",3,4,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"sheep","distrClass3",4,2,NA,"animal","cow","distrClass3",2,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"van","","1449255335152","van","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"304",615,"4517-f",1449255339477,39,"subSuperTrial","distr33","tulip","target",3,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"cookies","distrClass3",2,3,NA,"snack","bison","distrClass3",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"rose","","1449255338706","rose","False","False","False",TRUE,"tulip",NA,NA,"",NA,NA,NA,NA
"306",617,"4517-f",1449255355002,41,"subSuperTrial","distr12","convertible","target",2,4,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"sedan","distrClass1",4,2,"car","vehicle","ambulance","distrClass2",3,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"top down car","","1449255352668","top down car","False","False","False",TRUE,"convertible",NA,NA,"",NA,NA,NA,NA
"312",629,"4517-f",1449255424299,53,"subSuperTrial","distr12","jellyBeans","target",2,3,"candy","snack","chips","distrClass2",4,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,"candyCorn","distrClass1",3,2,"candy","snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"jelly beans","","1449255422823","jelly beans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"313",630,"4517-f",1449255428544,54,"subSuperTrial","distr12","sunflower","target",3,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",4,2,"flower","plant","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass2",2,3,NA,"plant",1,1,0,"sunflower","","1449255427748","sunflower","False","False","True",TRUE,"sunflower",NA,NA,"",NA,NA,NA,NA
"315",639,"4517-f",1449255468554,63,"subSuperTrial","distr23","tShirt","target",4,2,"shirt","clothing","dress","distrClass2",3,3,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"motorcycle","distrClass3",2,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,3,3,0,"blue___sry___tshirt","","1449255463628___1449255466506___1449255467440","blue","False","False","False",TRUE,"tShirt",NA,NA,"",NA,NA,NA,NA
"319",647,"4517-f",1449255507462,71,"subSuperTrial","distr23","skittles","target",2,2,"candy","snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass2",3,3,NA,"snack","ivy","distrClass3",4,4,NA,"plant",1,1,0,"skittles","","1449255506309","skittles","False","False","True",TRUE,"skittles",NA,NA,"",NA,NA,NA,NA
"322",654,"1223-7",1449255335931,6,"subSuperTrial","distr22","eagle","target",2,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"snake","distrClass2",4,4,NA,"animal","elephant","distrClass2",3,2,NA,"animal",1,1,0,"The eagle","","1449255333933","The eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"323",655,"1223-7",1449255345228,7,"subSuperTrial","distr12","goldFish","target",3,2,"fish","animal","blackStimulus",NA,5,5,NA,NA,"cow","distrClass2",4,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",2,3,"fish","animal",1,1,0,"The goldfish","","1449255342453","The goldfish","False","False","False",TRUE,"goldFish",NA,NA,"",NA,NA,NA,NA
"324",656,"1223-7",1449255353605,8,"subSuperTrial","distr22","picnicTable","target",4,3,"table","furniture","lamp","distrClass2",3,2,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"bed","distrClass2",2,4,NA,"furniture",1,1,0,"The picnic table","","1449255351768","The picnic table","False","False","False",TRUE,"picnicTable",NA,NA,"",NA,NA,NA,NA
"326",659,"1223-7",1449255380771,11,"subSuperTrial","distr22","skittles","target",3,4,"candy","snack","pretzels","distrClass2",2,2,NA,"snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"cookies","distrClass2",4,3,NA,"snack",1,1,0,"Skittles","","1449255378918","Skittles","False","False","True",TRUE,"skittles",NA,NA,"",NA,NA,NA,NA
"328",663,"1223-7",1449255414312,15,"subSuperTrial","distr12","gummyBears","target",4,2,"candy","snack","pretzels","distrClass2",3,4,NA,"snack","candyCorn","distrClass1",2,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"gummy bears","","1449255412899","gummy bears","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"329",665,"1223-7",1449255426485,17,"subSuperTrial","distr23","bedsideTable","target",3,2,"table","furniture","bison","distrClass3",4,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bookcase","distrClass2",2,4,NA,"furniture",1,1,0,"nightstand","","1449255425171","nightstand","False","False","False",TRUE,"bedsideTable",NA,NA,"",NA,NA,NA,NA
"330",667,"1223-7",1449255441900,19,"subSuperTrial","distr12","swordFish","target",4,2,"fish","animal","rhino","distrClass2",3,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",2,4,"fish","animal",1,1,0,"swordfish","","1449255439626","swordfish","False","False","False",TRUE,"swordFish",NA,NA,"",NA,NA,NA,NA
"331",670,"1223-7",1449255473751,22,"subSuperTrial","distr12","germanShepherd","target",4,3,"dog","animal","crocodile","distrClass2",3,4,NA,"animal","greyhound","distrClass1",2,2,"dog","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"German shepard","","1449255467144","German shepard","False","False","False",TRUE,"germanShepherd",NA,NA,"",NA,NA,NA,NA
"333",679,"1223-7",1449255540833,31,"subSuperTrial","distr23","clownFish","target",3,3,"fish","animal","bed","distrClass3",4,2,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"crocodile","distrClass2",2,4,NA,"animal",1,1,0,"clown fish","","1449255539664","clown fish","False","False","False",TRUE,"clownFish",NA,NA,"",NA,NA,NA,NA
"334",681,"1223-7",1449255552058,33,"subSuperTrial","distr33","pigeon","target",3,3,"bird","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"bed","distrClass3",2,4,NA,"furniture","ivy","distrClass3",4,2,NA,"plant",1,1,0,"pigeon","","1449255550592","pigeon","False","False","True",TRUE,"pigeon",NA,NA,"",NA,NA,NA,NA
"335",683,"1223-7",1449255570852,35,"subSuperTrial","distr22","sunflower","target",3,4,"flower","plant","ivy","distrClass2",4,2,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"pottedPlant","distrClass2",2,3,NA,"plant",1,1,0,"sunflower","","1449255568733","sunflower","False","False","True",TRUE,"sunflower",NA,NA,"",NA,NA,NA,NA
"336",684,"1223-7",1449255576505,36,"subSuperTrial","distr33","jellyBeans","target",2,4,"candy","snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"bed","distrClass3",4,3,NA,"furniture","firetruck","distrClass3",3,2,NA,"vehicle",1,1,0,"jelly beans","","1449255575259","jelly beans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"338",690,"1223-7",1449255621334,42,"subSuperTrial","distr22","daisy","target",3,4,"flower","plant","ivy","distrClass2",4,2,NA,"plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"grasses","distrClass2",2,3,NA,"plant",1,1,0,"daisy","","1449255619269","daisy","False","False","True",TRUE,"daisy",NA,NA,"",NA,NA,NA,NA
"344",703,"1223-7",1449255755355,55,"subSuperTrial","distr12","catfish","target",2,3,"fish","animal","discusFish","distrClass1",3,4,"fish","animal","cow","distrClass2",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"cat fish","","1449255753592","cat fish","False","False","False",TRUE,"catfish",NA,NA,"",NA,NA,NA,NA
"345",704,"1223-7",1449255761942,56,"subSuperTrial","distr22","minivan","target",3,3,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"train","distrClass2",2,2,NA,"vehicle","firetruck","distrClass2",4,4,NA,"vehicle",1,1,0,"white van","","1449255760725","white van","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"347",708,"1223-7",1449255799213,60,"subSuperTrial","distr33","dalmatian","target",4,3,"dog","animal","blackStimulus",NA,5,5,NA,NA,"train","distrClass3",3,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"chips","distrClass3",2,4,NA,"snack",1,1,0,"dalmation","","1449255797861","dalmation","False","False","False",TRUE,"dalmatian",NA,NA,"",NA,NA,NA,NA
"348",709,"1223-7",1449255803943,61,"subSuperTrial","distr23","polarBear","target",2,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bathrobe","distrClass3",3,2,NA,"clothing","kitten","distrClass2",4,4,NA,"animal",1,1,0,"polar bear","","1449255802865","polar bear","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"349",710,"1223-7",1449255809281,62,"subSuperTrial","distr23","parrot","target",4,3,"bird","animal","blackStimulus",NA,1,1,NA,NA,"iguana","distrClass2",2,2,NA,"animal","bathrobe","distrClass3",3,4,NA,"clothing","blackStimulus",NA,5,5,NA,NA,1,1,0,"parrot","","1449255807426","parrot","False","False","True",TRUE,"parrot",NA,NA,"",NA,NA,NA,NA
"350",711,"1223-7",1449255816195,63,"subSuperTrial","distr22","tulip","target",3,2,"flower","plant","pottedPlant","distrClass2",2,4,NA,"plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"rosemary","distrClass2",4,3,NA,"plant",1,1,0,"tulip","","1449255813923","tulip","False","False","True",TRUE,"tulip",NA,NA,"",NA,NA,NA,NA
"351",712,"1223-7",1449255820479,64,"subSuperTrial","distr33","pug","target",2,3,"dog","animal","pretzels","distrClass3",3,2,NA,"snack","wardrobe","distrClass3",4,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"pug","","1449255819094","pug","False","False","True",TRUE,"pug",NA,NA,"",NA,NA,NA,NA
"352",715,"1223-7",1449255839256,67,"subSuperTrial","distr12","rose","target",4,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass2",3,2,NA,"plant","blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",2,3,"flower","plant",1,1,0,"rose","","1449255837654","rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"353",719,"1223-7",1449255860765,71,"subSuperTrial","distr23","poloShirt","target",3,3,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"pretzels","distrClass3",4,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,"bathrobe","distrClass2",2,4,NA,"clothing",1,1,0,"polo","","1449255859335","polo","False","False","False",TRUE,"poloShirt",NA,NA,"",NA,NA,NA,NA
"354",724,"5512-7",1449255445470,4,"subSuperTrial","distr12","picnicTable","target",4,3,"table","furniture","blackStimulus",NA,1,1,NA,NA,"bookcase","distrClass2",2,2,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"sideTable","distrClass1",3,4,"table","furniture",1,1,0,"picnic table","","1449255444271","picnic table","False","False","False",TRUE,"picnicTable",NA,NA,"",NA,NA,NA,NA
"356",730,"5512-7",1449255484788,10,"subSuperTrial","distr23","mnMs","target",3,2,"candy","snack","blackStimulus",NA,5,5,NA,NA,"chips","distrClass2",2,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,"wardrobe","distrClass3",4,3,NA,"furniture",1,1,0,"m&m","","1449255483702","m&m","False","False","False",TRUE,"mnMs",NA,NA,"",NA,NA,NA,NA
"359",734,"5512-7",1449255512848,14,"subSuperTrial","distr12","minivan","target",2,3,"car","vehicle","ambulance","distrClass2",3,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"sedan","distrClass1",4,2,"car","vehicle","blackStimulus",NA,5,5,NA,NA,1,1,0,"suv","","1449255511110","suv","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"360",735,"5512-7",1449255519149,15,"subSuperTrial","distr22","daisy","target",2,4,"flower","plant","rosemary","distrClass2",3,2,NA,"plant","blackStimulus",NA,1,1,NA,NA,"pottedPlant","distrClass2",4,3,NA,"plant","blackStimulus",NA,5,5,NA,NA,1,1,0,"daisy","","1449255517887","daisy","False","False","True",TRUE,"daisy",NA,NA,"",NA,NA,NA,NA
"365",748,"5512-7",1449255601345,28,"subSuperTrial","distr12","tulip","target",4,2,"flower","plant","blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",3,4,"flower","plant","pottedPlant","distrClass2",2,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,1,1,0,"tulip","","1449255599951","tulip","False","False","True",TRUE,"tulip",NA,NA,"",NA,NA,NA,NA
"368",755,"5512-7",1449255643995,35,"subSuperTrial","distr12","pigeon","target",2,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"sheep","distrClass2",4,4,NA,"animal","sparrow","distrClass1",3,2,"bird","animal",1,1,0,"pigeon","","1449255643100","pigeon","False","False","True",TRUE,"pigeon",NA,NA,"",NA,NA,NA,NA
"369",756,"5512-7",1449255653899,36,"subSuperTrial","distr12","catfish","target",3,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"pig","distrClass2",2,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"discusFish","distrClass1",4,2,"fish","animal",1,1,0,"catfish","","1449255652896","catfish","False","False","True",TRUE,"catfish",NA,NA,"",NA,NA,NA,NA
"387",792,"5512-7",1449255874915,72,"subSuperTrial","distr33","rose","target",3,2,"flower","plant","bathrobe","distrClass3",4,3,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"cookies","distrClass3",2,4,NA,"snack",1,1,0,"rose","","1449255869123","rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"389",794,"3293-5",1449256231686,2,"subSuperTrial","distr12","bedsideTable","target",4,4,"table","furniture","wardrobe","distrClass2",3,3,NA,"furniture","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"sideTable","distrClass1",2,2,"table","furniture",1,1,0,"dresser","","1449256230097","dresser","False","False","False",TRUE,"bedsideTable",NA,NA,"",NA,NA,NA,NA
