gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,alt3Name,alt3TargetStatus,alt3SpLocs,alt3LisLocs,alt3Basiclevel,alt3superdomain,alt4Name,alt4TargetStatus,alt4SpLocs,alt4LisLocs,alt4Basiclevel,alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,mistake_speaker,mistake_listener,technical_error,listenerMessages,messageTimeStamps,refExp,clickedType,clickedSize,clickedColor,colorMentioned,sizeMentioned,metaColorMentioned,metaSizeMentioned,typeMentioned,automaticallyLabelledTrials,manuallyAddedTrials,oddOneMentions,otherFeatureMentioned,oneMentioned,theMentioned,fullSentence,noColorSizeMentioned
1984-6,1455301987047,9,colorSizeTrial,size43,big_red_stapler,distractor,4,5,NA,NA,big_purple_stapler,distractor,2,1,NA,NA,big_purple_stapler,distractor,3,4,NA,NA,small_purple_stapler,target,5,3,NA,NA,big_purple_stapler,distractor,1,2,NA,NA,1,1,0,red,TRUE,,,,1455301985598,red,stapler,big,red,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1511-d,1455302505279,50,colorSizeTrial,color42,big_blue_binder,distractor,5,3,NA,NA,small_blue_binder,distractor,3,4,NA,NA,big_green_binder,target,1,5,NA,NA,small_blue_binder,distractor,4,1,NA,NA,big_blue_binder,distractor,2,2,NA,NA,1,1,0,green,,TRUE,,,1455302500316,green,binder,big,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1511-d,1455302617834,69,colorSizeTrial,size44,small_blue_ornament,distractor,4,1,NA,NA,small_blue_ornament,distractor,2,3,NA,NA,big_blue_ornament,target,1,5,NA,NA,small_blue_ornament,distractor,5,4,NA,NA,small_blue_ornament,distractor,3,2,NA,NA,1,1,0,biggest,,TRUE,,,1455302611527,biggest,ornament,small,blue,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6588-d,1455302275224,1,colorSizeTrial,size41,small_blue_cushion,distractor,1,1,NA,NA,small_orange_cushion,distractor,4,3,NA,NA,big_blue_cushion,target,3,5,NA,NA,small_orange_cushion,distractor,2,4,NA,NA,small_orange_cushion,distractor,5,2,NA,NA,1,1,0,Blue pillow,TRUE,,,,1455302273374,Blue pillow,cushion,small,blue,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6588-d,1455302465458,16,colorSizeTrial,size31,small_green_avocado,distractor,4,2,NA,NA,small_black_avocado,distractor,3,4,NA,NA,small_black_avocado,distractor,2,3,NA,NA,big_green_avocado,target,1,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Green,TRUE,,,,1455302461828,Green,avocado,small,green,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6588-d,1455302738793,34,colorSizeTrial,size32,big_red_bucket,distractor,1,1,NA,NA,big_pink_bucket,distractor,3,3,NA,NA,big_pink_bucket,distractor,4,4,NA,NA,small_pink_bucket,target,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,red bucket,TRUE,,,,1455302737399,red bucket,bucket,big,red,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2719-8,1455302704243,7,colorSizeTrial,size32,big_white_phone,distractor,4,3,NA,NA,small_pink_phone,target,2,4,NA,NA,big_pink_phone,distractor,1,2,NA,NA,big_pink_phone,distractor,3,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,small,,TRUE,,,1455302703072,small,phone,big,white,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1625-9,1455304590344,59,colorSizeTrial,size21,small_white_teacup,distractor,3,2,NA,NA,big_white_teacup,target,4,4,NA,NA,small_pink_teacup,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,largest white cup and saucer,,TRUE,,,1455304588629,largest white cup and saucer,teacup,small,white,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7569-e,1455304539558,15,colorSizeTrial,size22,small_blue_rug,distractor,3,2,NA,NA,small_blue_rug,distractor,4,4,NA,NA,big_blue_rug,target,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,the object is on the far left,TRUE,,,,1455304532709,the object is on the far left,rug,small,blue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
7569-e,1455304578635,18,colorSizeTrial,size33,small_purple_yarn,distractor,3,2,NA,NA,small_purple_yarn,distractor,1,1,NA,NA,small_purple_yarn,distractor,4,4,NA,NA,big_purple_yarn,target,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,it is purple,TRUE,,,,1455304576371,it is purple,yarn,small,purple,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455304592838,19,colorSizeTrial,color44,big_pink_framee,distractor,4,2,NA,NA,big_green_framee,target,2,4,NA,NA,big_pink_framee,distractor,1,5,NA,NA,big_pink_framee,distractor,5,3,NA,NA,big_pink_framee,distractor,3,1,NA,NA,1,1,0,it is green,,TRUE,,,1455304582276,it is green,framee,big,pink,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455304637827,21,colorSizeTrial,color44,big_white_shoe,distractor,2,3,NA,NA,big_yellow_shoe,target,5,4,NA,NA,big_white_shoe,distractor,3,2,NA,NA,big_white_shoe,distractor,1,5,NA,NA,big_white_shoe,distractor,4,1,NA,NA,1,1,0,it is yellow,,TRUE,,,1455304629949,it is yellow,shoe,big,white,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455304717937,26,colorSizeTrial,size21,big_purple_bracelet,distractor,3,3,NA,NA,small_purple_bracelet,target,2,4,NA,NA,big_green_bracelet,distractor,4,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,it is purple,TRUE,,,,1455304715096,it is purple,bracelet,big,purple,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455304739866,28,colorSizeTrial,size32,small_red_bike,distractor,4,2,NA,NA,small_purple_bike,distractor,3,3,NA,NA,small_red_bike,distractor,2,1,NA,NA,big_red_bike,target,1,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,it is red,TRUE,,,,1455304738009,it is red,bike,small,red,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455304820276,33,colorSizeTrial,size43,big_blue_candle,distractor,4,3,NA,NA,big_red_candle,distractor,5,1,NA,NA,big_red_candle,distractor,2,4,NA,NA,big_red_candle,distractor,1,2,NA,NA,small_red_candle,target,3,5,NA,NA,1,1,0,it is smallest,,TRUE,,,1455304812644,it is smallest,candle,big,blue,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455304847289,35,colorSizeTrial,size31,big_blue_tack,distractor,3,3,NA,NA,big_red_tack,distractor,2,1,NA,NA,big_red_tack,distractor,1,2,NA,NA,small_blue_tack,target,4,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,it is blue and small,,TRUE,,,1455304843815,it is blue and small,tack,big,blue,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455305019273,47,colorSizeTrial,size41,small_blue_cap,distractor,3,3,NA,NA,small_orange_cap,distractor,1,1,NA,NA,small_blue_cap,distractor,2,4,NA,NA,small_blue_cap,distractor,5,2,NA,NA,big_orange_cap,target,4,5,NA,NA,1,1,0,it's the largest,,TRUE,,,1455305016766,it's the largest,cap,small,blue,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455305188589,53,colorSizeTrial,color33,big_black_comb,distractor,2,2,NA,NA,big_blue_comb,target,1,4,NA,NA,big_black_comb,distractor,4,1,NA,NA,big_black_comb,distractor,3,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,2,1,1,it's blue,,TRUE,,the HIT is going to expire in 5 minutes for me,1455305176345___1455305185200,it's blue,comb,big,black,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7569-e,1455305350746,67,colorSizeTrial,size41,small_blue_book,distractor,5,3,NA,NA,big_black_book,target,3,4,NA,NA,small_black_book,distractor,4,5,NA,NA,small_blue_book,distractor,2,2,NA,NA,small_blue_book,distractor,1,1,NA,NA,1,1,0,it's the biggest,,TRUE,,,1455305344550,it's the biggest,book,small,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7960-f,1455304081897,33,colorSizeTrial,size42,small_blue_cushion,distractor,3,3,NA,NA,big_blue_cushion,target,1,1,NA,NA,small_blue_cushion,distractor,2,5,NA,NA,small_orange_cushion,distractor,5,2,NA,NA,small_orange_cushion,distractor,4,4,NA,NA,1,1,0,large blue,,TRUE,,,1455304079426,large blue,cushion,small,blue,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7960-f,1455304364298,71,colorSizeTrial,size43,small_yellow_shoe,distractor,5,4,NA,NA,big_white_shoe,target,3,5,NA,NA,small_white_shoe,distractor,2,1,NA,NA,small_white_shoe,distractor,4,3,NA,NA,small_white_shoe,distractor,1,2,NA,NA,1,1,0,large white,,TRUE,,,1455304359262,large white,shoe,small,yellow,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8800-a,1455306691013,7,colorSizeTrial,size21,small_green_jacket,distractor,3,3,NA,NA,big_brown_jacket,target,4,4,NA,NA,small_brown_jacket,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,different color,TRUE,,,,1455306689488,different color,jacket,small,green,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3188-4,1455304081245,10,colorSizeTrial,size41,big_pink_golfball,distractor,5,3,NA,NA,big_blue_golfball,distractor,2,2,NA,NA,big_blue_golfball,distractor,3,4,NA,NA,small_pink_golfball,target,4,5,NA,NA,big_blue_golfball,distractor,1,1,NA,NA,1,1,0,smallest pink golf ball,,TRUE,,,1455304079877,smallest pink golf ball,golfball,big,pink,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
