gameid	 time	 roundNum	 trialType	 condition	 nameClickedObj	 targetStatusClickedObj	 spLocsClickedObj	 lisLocsClickedObj	 domainClickedObj	 superdomainClickedObj	 alt1Name	 alt1TargetStatus	 alt1SpLocs	 alt1LisLocs	 alt1Domain	 alt1superdomain	 alt2Name	 alt2TargetStatus	 alt2SpLocs	 alt2LisLocs	 alt2Domain	 alt2superdomain	 alt3Name	 alt3TargetStatus	 alt3SpLocs	 alt3LisLocs	 alt3Domain	 alt3superdomain	 alt4Name	 alt4TargetStatus	 alt4SpLocs	 alt4LisLocs	 alt4Domain	 alt4superdomain	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor
0092-1	1448860238960	19	colorSizeTrial	sizeOnly4Distr4Same	big_red_tack	distractor	2	1	NA	NA	small_red_tack	target	1	5	NA	NA	big_red_tack	distractor	3	3	NA	NA	big_red_tack	distractor	5	4	NA	NA	big_red_tack	distractor	4	2	NA	NA	1	0	1		adsf	1448860238141	NA	False	False	False	big_red_tack	NA	NA
0092-1	1448860242806	20	colorSizeTrial	sizeOnly4Distr4Same	big_pink_balloon	distractor	4	1	NA	NA	big_pink_balloon	distractor	2	2	NA	NA	small_pink_balloon	target	5	4	NA	NA	big_pink_balloon	distractor	1	5	NA	NA	big_pink_balloon	distractor	3	3	NA	NA	1	0	1		asdf	1448860241797	NA	False	False	False	big_pink_balloon	NA	NA
0092-1	1448860246317	21	subSuperTrial	distr12	smokedetector	distrClass2	2	4	NA	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	chair2	distrClass1	3	2	furniture	object	bed	target	4	3	furniture	object	1	0	1		adsf	1448860245317	NA	False	False	False	smokedetector	NA	NA
0092-1	1448860249371	22	subSuperTrial	distr33	bambus	distrClass3	2	2	NA	plant	ketchup	distrClass3	3	3	NA	food	wardrobe	target	4	4	furniture	object	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		adsf	1448860248457	NA	False	False	False	bambus	NA	NA
0092-1	1448860252456	23	colorSizeTrial	colorOnly4Distr4Same	big_black_turtle	distractor	2	2	NA	NA	big_black_turtle	distractor	5	1	NA	NA	big_black_turtle	distractor	1	4	NA	NA	big_brown_turtle	target	3	3	NA	NA	big_black_turtle	distractor	4	5	NA	NA	1	0	1		asdf	1448860251457	NA	False	False	False	big_black_turtle	NA	NA
0092-1	1448860256514	24	colorSizeTrial	sizeOnly2Distr1Same	big_brown_jacket	distractor	3	2	NA	NA	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	big_green_jacket	distractor	4	3	NA	NA	small_brown_jacket	target	2	4	NA	NA	1	0	1		adfs	1448860254766	NA	False	False	False	big_brown_jacket	NA	NA
0092-1	1448860260522	25	subSuperTrial	distr33	cherryTree	distrClass3	3	2	NA	plant	kiwi	target	4	3	fruit	food	baseballmitt	distrClass3	2	4	NA	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	1	0	1		dsf	1448860258806	NA	False	False	False	cherryTree	NA	NA
0092-1	1448860264565	26	colorSizeTrial	colorOnly2Distr2Same	small_green_avocado	distractor	3	2	NA	NA	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	small_green_avocado	distractor	2	4	NA	NA	small_black_avocado	target	4	3	NA	NA	1	0	1		asd	1448860263018	NA	False	False	False	small_green_avocado	NA	NA
0092-1	1448860267617	27	colorSizeTrial	sizeOnly4Distr3Same	big_purple_ornament	distractor	3	2	NA	NA	big_blue_ornament	distractor	5	5	NA	NA	big_purple_ornament	distractor	2	1	NA	NA	small_purple_ornament	target	4	3	NA	NA	big_purple_ornament	distractor	1	4	NA	NA	1	0	1		fasdf	1448860266741	NA	False	False	False	big_purple_ornament	NA	NA
0092-1	1448860272198	28	colorSizeTrial	sizeOnly4Distr3Same	big_pink_phone	target	1	3	NA	NA	small_white_phone	distractor	3	5	NA	NA	small_pink_phone	distractor	2	1	NA	NA	small_pink_phone	distractor	4	2	NA	NA	small_pink_phone	distractor	5	4	NA	NA	1	0	1		asdf	1448860270099	NA	False	False	False	big_pink_phone	NA	NA
0092-1	1448860275787	29	subSuperTrial	distr33	lion	distrClass3	3	2	NA	animal	lamp	target	2	4	furniture	object	blackStimulus	NA	1	1	NA	NA	temple	distrClass3	4	3	NA	place	blackStimulus	NA	5	5	NA	NA	1	0	1		sdaf	1448860274663	NA	False	False	False	lion	NA	NA
0092-1	1448860280512	30	subSuperTrial	distr23	hospital	distrClass3	3	2	NA	place	bread	distrClass2	2	3	NA	food	blackStimulus	NA	1	1	NA	NA	mushroom	target	4	4	vegetable	food	blackStimulus	NA	5	5	NA	NA	1	0	1		adsf	1448860279379	NA	False	False	False	hospital	NA	NA
0092-1	1448860283621	31	colorSizeTrial	colorOnly4Distr2Same	big_white_teacup	target	5	1	NA	NA	small_pink_teacup	distractor	4	5	NA	NA	big_pink_teacup	distractor	1	2	NA	NA	small_pink_teacup	distractor	3	4	NA	NA	big_pink_teacup	distractor	2	3	NA	NA	1	0	1		adf	1448860282684	NA	False	False	False	big_white_teacup	NA	NA
0092-1	1448860287545	32	colorSizeTrial	sizeOnly4Distr2Same	small_purple_coathanger	distractor	3	2	NA	NA	small_orange_coathanger	distractor	2	1	NA	NA	small_orange_coathanger	distractor	4	4	NA	NA	big_orange_coathanger	target	1	3	NA	NA	small_purple_coathanger	distractor	5	5	NA	NA	1	0	1		asdf	1448860286599	NA	False	False	False	small_purple_coathanger	NA	NA
0092-1	1448860292388	33	subSuperTrial	distr23	sushi	distrClass3	2	3	NA	food	tent	target	4	2	house	place	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	postoffice	distrClass2	3	4	NA	place	1	1	0	adsf		1448860290097	adsf	False	False	False	sushi	NA	NA
0092-1	1448860297764	34	subSuperTrial	distr22	mosque	distrClass2	2	2	NA	place	church	distrClass2	4	3	NA	place	trailer	target	3	4	house	place	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	1	0	1		asdf	1448860296679	NA	False	False	False	mosque	NA	NA
0092-1	1448860301629	35	subSuperTrial	distr33	husky	target	4	4	dog	animal	tooth	distrClass3	2	3	NA	object	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	rubberduck	distrClass3	3	2	NA	object	1	0	1		sdaf	1448860299855	NA	False	False	False	husky	NA	NA
0092-1	1448860305338	36	subSuperTrial	distr22	anvil	distrClass2	2	2	NA	object	teddybear	distrClass2	4	4	NA	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	bathrobe	target	3	3	clothing	object	1	0	1		adsf	1448860303673	NA	False	False	False	anvil	NA	NA
0092-1	1448860308467	37	subSuperTrial	distr12	temple	distrClass2	2	3	NA	place	igloo	target	4	2	house	place	rv	distrClass1	3	4	house	place	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	1	0	1		dsaf	1448860307402	NA	False	False	False	temple	NA	NA
0092-1	1448860312995	38	subSuperTrial	distr23	piano	target	2	2	instrument	object	blackStimulus	NA	5	5	NA	NA	camera	distrClass2	4	3	NA	object	blackStimulus	NA	1	1	NA	NA	ketchup	distrClass3	3	4	NA	food	1	0	1		adf	1448860311543	NA	False	False	False	piano	NA	NA
0092-1	1448860320486	39	colorSizeTrial	sizeOnly2Distr1Same	big_purple_bracelet	target	4	3	NA	NA	blackStimulus	NA	5	5	NA	NA	small_green_bracelet	distractor	3	2	NA	NA	blackStimulus	NA	1	1	NA	NA	small_purple_bracelet	distractor	2	4	NA	NA	1	0	1		dasf	1448860319366	NA	False	False	False	big_purple_bracelet	NA	NA
0092-1	1448860323484	40	colorSizeTrial	sizeOnly2Distr2Same	big_blue_butterfly	distractor	3	2	NA	NA	small_blue_butterfly	target	4	3	NA	NA	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	big_blue_butterfly	distractor	2	4	NA	NA	1	0	1		asdf	1448860322553	NA	False	False	False	big_blue_butterfly	NA	NA
0092-1	1448860334487	41	subSuperTrial	distr33	daisy	target	2	3	flower	plant	church	distrClass3	3	2	NA	place	record	distrClass3	4	4	NA	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	1	1	0	asdf		1448860332027	asdf	False	False	False	daisy	NA	NA
0092-1	1448860338067	42	colorSizeTrial	sizeOnly2Distr1Same	big_pink_weddingcake	distractor	2	2	NA	NA	small_white_weddingcake	target	3	3	NA	NA	blackStimulus	NA	1	1	NA	NA	big_white_weddingcake	distractor	4	4	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		asdf	1448860337217	NA	False	False	False	big_pink_weddingcake	NA	NA
0092-1	1448860342810	43	colorSizeTrial	sizeOnly4Distr2Same	big_black_comb	distractor	1	2	NA	NA	big_black_comb	distractor	3	3	NA	NA	big_blue_comb	distractor	4	1	NA	NA	small_blue_comb	target	5	5	NA	NA	big_blue_comb	distractor	2	4	NA	NA	1	0	1		ads	1448860340163	NA	False	False	False	big_black_comb	NA	NA
0092-1	1448860346154	44	subSuperTrial	distr12	corn	target	2	2	vegetable	food	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	pumpkin	distrClass1	4	3	vegetable	food	egg	distrClass2	3	4	NA	food	1	0	1		asd	1448860345353	NA	False	False	False	corn	NA	NA
0092-1	1448860349077	45	subSuperTrial	distr22	rubberduck	distrClass2	3	2	NA	object	firemanhat	distrClass2	2	4	NA	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	bookcase	target	4	3	furniture	object	1	0	1		dsa	1448860348159	NA	False	False	False	rubberduck	NA	NA
0092-1	1448860352979	46	colorSizeTrial	sizeOnly2Distr2Same	big_red_chair	target	2	2	NA	NA	small_red_chair	distractor	4	4	NA	NA	small_red_chair	distractor	3	3	NA	NA	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		sdf	1448860351449	NA	False	False	False	big_red_chair	NA	NA
0092-1	1448860356691	47	colorSizeTrial	colorOnly4Distr1Same	small_purple_yarn	distractor	2	2	NA	NA	big_red_yarn	target	5	4	NA	NA	big_purple_yarn	distractor	4	1	NA	NA	small_purple_yarn	distractor	3	3	NA	NA	small_purple_yarn	distractor	1	5	NA	NA	1	0	1		dsaf	1448860355151	NA	False	False	False	small_purple_yarn	NA	NA
0092-1	1448860359765	48	colorSizeTrial	colorOnly4Distr2Same	small_green_framee	target	5	1	NA	NA	small_pink_framee	distractor	3	4	NA	NA	big_pink_framee	distractor	1	3	NA	NA	big_pink_framee	distractor	4	2	NA	NA	small_pink_framee	distractor	2	5	NA	NA	1	0	1		sdaf	1448860358733	NA	False	False	False	small_green_framee	NA	NA
0092-1	1448860363744	49	subSuperTrial	distr23	carrot	target	3	2	vegetable	food	pancake	distrClass2	2	3	NA	food	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	football	distrClass3	4	4	NA	object	1	0	1		sda	1448860361925	NA	False	False	False	carrot	NA	NA
0092-1	1448860366520	50	subSuperTrial	distr23	lime	target	3	2	fruit	food	blackStimulus	NA	1	1	NA	NA	airport	distrClass3	2	3	NA	place	blackStimulus	NA	5	5	NA	NA	cookies	distrClass2	4	4	NA	food	1	0	1		sd	1448860365670	NA	False	False	False	lime	NA	NA
0092-1	1448860369502	51	subSuperTrial	distr22	rose	target	3	2	flower	plant	grasses	distrClass2	4	3	NA	plant	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	cherryTree	distrClass2	2	4	NA	plant	1	0	1		ads	1448860368499	NA	False	False	False	rose	NA	NA
0092-1	1448860374493	52	subSuperTrial	distr22	ivy	distrClass2	3	2	NA	plant	tulip	target	4	4	flower	plant	blackStimulus	NA	5	5	NA	NA	fir	distrClass2	2	3	NA	plant	blackStimulus	NA	1	1	NA	NA	1	0	1		asdf	1448860372643	NA	False	False	False	ivy	NA	NA
0092-1	1448860378250	53	colorSizeTrial	colorOnly4Distr3Same	big_red_pepper	distractor	1	1	NA	NA	small_green_pepper	target	5	5	NA	NA	small_red_pepper	distractor	3	4	NA	NA	small_red_pepper	distractor	4	2	NA	NA	small_red_pepper	distractor	2	3	NA	NA	1	0	1		dsf	1448860376947	NA	False	False	False	big_red_pepper	NA	NA
0092-1	1448860382186	54	colorSizeTrial	sizeOnly4Distr4Same	big_red_candle	distractor	3	1	NA	NA	big_red_candle	distractor	5	5	NA	NA	big_red_candle	distractor	1	3	NA	NA	big_red_candle	distractor	2	4	NA	NA	small_red_candle	target	4	2	NA	NA	1	0	1		dsaf	1448860380617	NA	False	False	False	big_red_candle	NA	NA
0092-1	1448860385539	55	colorSizeTrial	colorOnly4Distr1Same	big_blue_book	distractor	5	2	NA	NA	small_blue_book	distractor	1	5	NA	NA	small_blue_book	distractor	3	3	NA	NA	small_blue_book	distractor	4	1	NA	NA	big_black_book	target	2	4	NA	NA	1	0	1		das	1448860384336	NA	False	False	False	big_blue_book	NA	NA
0092-1	1448860389511	56	subSuperTrial	distr12	daffodil	distrClass1	2	2	flower	plant	blackStimulus	NA	5	5	NA	NA	chive	distrClass2	3	4	NA	plant	blackStimulus	NA	1	1	NA	NA	sunflower	target	4	3	flower	plant	1	0	1		das	1448860387754	NA	False	False	False	daffodil	NA	NA
0092-1	1448860393071	57	subSuperTrial	distr22	pug	target	2	2	dog	animal	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	lion	distrClass2	3	3	NA	animal	flamingo	distrClass2	4	4	NA	animal	1	0	1		asd	1448860391903	NA	False	False	False	pug	NA	NA
0092-1	1448860396529	58	colorSizeTrial	colorOnly2Distr2Same	big_white_shoe	target	2	2	NA	NA	big_yellow_shoe	distractor	4	4	NA	NA	big_yellow_shoe	distractor	3	3	NA	NA	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	1	0	1		sd	1448860395484	NA	False	False	False	big_white_shoe	NA	NA
0092-1	1448860399521	59	colorSizeTrial	sizeOnly4Distr3Same	big_purple_bike	distractor	5	2	NA	NA	big_red_bike	distractor	2	5	NA	NA	small_purple_bike	target	4	4	NA	NA	big_purple_bike	distractor	1	3	NA	NA	big_purple_bike	distractor	3	1	NA	NA	1	0	1		sadf	1448860398601	NA	False	False	False	big_purple_bike	NA	NA
0092-1	1448860403157	60	colorSizeTrial	sizeOnly4Distr2Same	small_orange_billiardball	target	2	3	NA	NA	big_purple_billiardball	distractor	5	1	NA	NA	big_purple_billiardball	distractor	1	4	NA	NA	big_orange_billiardball	distractor	3	5	NA	NA	big_orange_billiardball	distractor	4	2	NA	NA	1	0	1		sda	1448860401763	NA	False	False	False	small_orange_billiardball	NA	NA
0092-1	1448860406245	61	subSuperTrial	distr23	clarinet	target	2	2	instrument	object	blackStimulus	NA	1	1	NA	NA	binoculars	distrClass2	4	3	NA	object	bambus	distrClass3	3	4	NA	plant	blackStimulus	NA	5	5	NA	NA	1	0	1		asd	1448860405188	NA	False	False	False	clarinet	NA	NA
0092-1	1448860409208	62	colorSizeTrial	sizeOnly4Distr1Same	big_blue_rug	distractor	2	1	NA	NA	big_blue_rug	distractor	1	4	NA	NA	small_purple_rug	target	5	3	NA	NA	big_purple_rug	distractor	3	5	NA	NA	big_blue_rug	distractor	4	2	NA	NA	1	0	1		das	1448860408122	NA	False	False	False	big_blue_rug	NA	NA
0092-1	1448860412133	63	colorSizeTrial	sizeOnly4Distr1Same	small_blue_guitar	distractor	2	2	NA	NA	small_green_guitar	distractor	1	1	NA	NA	big_blue_guitar	target	5	3	NA	NA	small_green_guitar	distractor	3	5	NA	NA	small_green_guitar	distractor	4	4	NA	NA	1	0	1		ads	1448860411189	NA	False	False	False	small_blue_guitar	NA	NA
0092-1	1448860415728	64	colorSizeTrial	sizeOnly4Distr3Same	big_orange_napkin	distractor	5	2	NA	NA	big_yellow_napkin	distractor	4	4	NA	NA	small_orange_napkin	target	2	5	NA	NA	big_orange_napkin	distractor	3	3	NA	NA	big_orange_napkin	distractor	1	1	NA	NA	1	0	1		ads	1448860414240	NA	False	False	False	big_orange_napkin	NA	NA
0092-1	1448860418919	65	colorSizeTrial	sizeOnly4Distr2Same	small_green_rock	distractor	1	1	NA	NA	small_green_rock	distractor	2	4	NA	NA	big_purple_rock	target	5	2	NA	NA	small_purple_rock	distractor	3	3	NA	NA	small_purple_rock	distractor	4	5	NA	NA	1	0	1		dsa	1448860417693	NA	False	False	False	small_green_rock	NA	NA
0092-1	1448860422334	66	subSuperTrial	distr12	boat	target	3	2	vehicle	object	laptop	distrClass2	2	4	NA	object	car	distrClass1	4	3	vehicle	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	1	0	1		dsa	1448860420972	NA	False	False	False	boat	NA	NA
0092-1	1448860425249	67	subSuperTrial	distr12	peach	distrClass1	3	3	fruit	food	blackStimulus	NA	5	5	NA	NA	pineapple	target	2	4	fruit	food	fries	distrClass2	4	2	NA	food	blackStimulus	NA	1	1	NA	NA	1	0	1		asd	1448860424234	NA	False	False	False	peach	NA	NA
0092-1	1448860428278	68	colorSizeTrial	sizeOnly4Distr4Same	big_red_flower	distractor	1	1	NA	NA	big_red_flower	distractor	2	2	NA	NA	small_red_flower	target	4	4	NA	NA	big_red_flower	distractor	3	3	NA	NA	big_red_flower	distractor	5	5	NA	NA	1	0	1		dsa	1448860427228	NA	False	False	False	big_red_flower	NA	NA
0092-1	1448860431270	69	subSuperTrial	distr22	saxophone	target	3	2	instrument	object	tv	distrClass2	4	4	NA	object	blackStimulus	NA	1	1	NA	NA	cigar	distrClass2	2	3	NA	object	blackStimulus	NA	5	5	NA	NA	1	0	1		ds	1448860430156	NA	False	False	False	saxophone	NA	NA
0092-1	1448860434274	70	subSuperTrial	distr23	rice	distrClass2	3	2	NA	food	eggplant	target	4	3	vegetable	food	museum	distrClass3	2	4	NA	place	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	1	0	1		dsa	1448860433232	NA	False	False	False	rice	NA	NA
0092-1	1448860437594	71	colorSizeTrial	colorOnly2Distr1Same	big_blue_golfball	distractor	2	2	NA	NA	blackStimulus	NA	1	1	NA	NA	small_blue_golfball	distractor	3	4	NA	NA	blackStimulus	NA	5	5	NA	NA	small_pink_golfball	target	4	3	NA	NA	1	0	1		dsa	1448860436331	NA	False	False	False	big_blue_golfball	NA	NA
0092-1	1448860441221	72	colorSizeTrial	sizeOnly4Distr1Same	small_black_belt	distractor	1	2	NA	NA	small_brown_belt	distractor	2	3	NA	NA	small_brown_belt	distractor	4	1	NA	NA	small_brown_belt	distractor	3	4	NA	NA	big_black_belt	target	5	5	NA	NA	1	0	1		dsa	1448860439879	NA	False	False	False	small_black_belt	NA	NA
3276-c	1448896425717	1	colorSizeTrial	colorOnly4Distr2Same	small_red_yarn	distractor	4	2	NA	NA	big_red_yarn	distractor	2	1	NA	NA	small_red_yarn	distractor	5	3	NA	NA	big_red_yarn	distractor	3	5	NA	NA	small_purple_yarn	target	1	4	NA	NA	1	1	0	purple		1448896415596	purple	False	False	False	small_red_yarn	NA	NA
3276-c	1448896440422	2	subSuperTrial	distr22	moviecamera	distrClass2	4	4	NA	object	backpack	distrClass2	2	2	NA	object	wardrobe	target	3	3	furniture	object	blackStimulus	NA	5	5	NA	NA	blackStimulus	NA	1	1	NA	NA	1	1	0	place to hang clothes		1448896438012	place to hang clothes	False	False	False	moviecamera	NA	NA
3276-c	1448896450567	3	blackStimulus	undefined	blackStimulus	NA	1	1	NA	NA	blackStimulus	NA	5	5	NA	NA	crocodile	distrClass3	3	3	NA	animal	pancake	distrClass2	4	2	NA	food	lime	target	2	4	fruit	food	1	1	0	fruit		1448896448819	fruit	False	False	False	blackStimulus	NA	NA
3276-c	1448896475067	4	colorSizeTrial	sizeOnly4Distr2Same	small_orange_cap	distractor	2	3	NA	NA	small_orange_cap	distractor	5	2	NA	NA	small_blue_cap	distractor	1	4	NA	NA	big_orange_cap	target	3	5	NA	NA	small_blue_cap	distractor	4	1	NA	NA	1	1	0	yellow and big		1448896464012	yellow and big	False	False	False	small_orange_cap	NA	NA
3276-c	1448896490323	5	blackStimulus	undefined	blackStimulus	NA	5	5	NA	NA	big_black_avocado	distractor	3	2	NA	NA	big_green_avocado	distractor	4	4	NA	NA	blackStimulus	NA	1	1	NA	NA	small_green_avocado	target	2	3	NA	NA	1	1	0	small and green		1448896487788	small and green	False	False	False	blackStimulus	NA	NA
